"Country","Landscape","Eplot","latitude","longitude","survey_uuid","flag","biodiversity","Canopy","Rooted_Plants","Litter_Cover","Downed_Wood","Stone_or_Gravel","Dung","Disturbed_Soil","Undisturbed_Bare___Porous_Soil","Undisturbed_but_Sealed_Soil","Sodic_Soil","Microfloral_Crust","Termite_Mound","Herbaceous_Crown_Cover_Score","Soil_Erosion_Score","C","N","P","K","pH"
"GHA","000","048",5.64479,-1.24599,"fa847cb1-5330-4e45-999f-69146d9cdf21","",1.09990231915596,18.1,4,2.2,3.2,0.4,0,0,0,0,0,0.2,0,5,0,0.0594854413333333,0.836214523333333,50.56,12423.3726663333,5.28392655533333
"GHA","000","049",7.44609,0.41035,"9d6eb186-16fa-4ac7-9b87-1181997f4b84","",NA,53.4,6.6,1.4,2,0,0,0,0,0,0,0,0,9.6,0,NA,NA,NA,NA,NA
"GHA","000","051",7.41214,-1.55856,"0fb8a759-fa8c-4c3c-87db-98a174b3e77d","",0,0,2,2,1.8,0,0,4.2,0,0,0,0,0,1,0.4,NA,NA,NA,NA,NA
"GHA","000","052",6.84612,-1.20671,"afb7a129-4889-42af-8a00-769ea341cac0","""GPS NW accuracy"" is greater than 5; ",1.64124383936808,52.2,3.8,2.6,1.2,0.2,0,2,0,0,0,0,0.2,5.8,0.2,NA,NA,NA,NA,NA
"GHA","000","053",8.09979,0.43964,"e2257d9b-a9ae-4570-95c7-b64866f82824","",1.41531278279228,41.25,5.6,1.8,1,1,0,0,0,0,0,0.6,0,7.2,0,0.05217684975,0.77021705125,50.56,3482.430667,5.6846029165
"GHA","000","054",5.73161,-0.91561,"0442ef27-35b7-45ba-b099-abb8a1611e5b","",1.11610733717911,44.6,2.4,3.6,2,0.2,0,1.6,0,0,0,0,0.2,3.2,0.4,NA,NA,NA,NA,NA
"GHA","000","055",6.82712,0.48342,"020bb2ff-1a1f-4c1d-830c-b365cadadc08","",2.2180180625002,42.3,5.8,1.8,1.8,0.4,0,0.2,0,0,0,0,0,6,0,NA,NA,NA,NA,NA
"GHA","000","056",5.27414,-1.18675,"f3e56709-9abf-401b-a11a-d94cf9dac78f","The record is duplicated in the schema; ",0,6.5,5.8,2.2,1.8,0.2,0,0,0,0,0,0,0,8,0,0.048082673,0.63724751,50.56,14435.14436175,6.28785625
"GHA","000","056",5.27414,-1.18675,"471c19c5-35eb-4794-92a6-3b4c3dba89d3","The record is duplicated in the schema; ",0,6.5,5.8,2.2,1.8,0.2,0,0,0,0,0,0,0,8,0,0.048082673,0.63724751,50.56,14435.14436175,6.28785625
"GHA","000","057",7.21987,-1.93131,"4e5a533e-7a22-4dd4-a61e-b04d922e0841","",0.212103037251343,4.95,3,1.6,0.8,0.8,0,1.6,1.2,0.8,0,0,0.2,1.4,0.2,NA,NA,NA,NA,NA
"GHA","000","058",5.4804,-0.96951,"f5b5e4b0-ec68-471c-a032-f2a615e26ef0","",1.41602445945358,54.2,2.2,4.6,2.4,0.4,0,0.2,0.2,0,0,0,0,2.6,0.2,0.0581185636666667,0.840865754,50.56,5940.45108433333,5.54113100033333
"GHA","000","060",5.63489,-1.24024,"49d304c1-4b25-4069-97a7-b746d7307b20","The record is duplicated in the schema; ",0.191308621834545,16.45,4,1.6,4.4,0,0,0,0,0,0,0,0,5.8,0,0.05428591475,0.73426959825,50.6001593325,5951.237128,5.9020459165
"GHA","000","060",5.63489,-1.24024,"352d6646-6fed-444b-9d5e-8ba9b7f939f0","The record is duplicated in the schema; ",0.293894404557417,16.45,5,1.4,3.6,0,0,0,0,0,0,0,0,6,0,0.05428591475,0.73426959825,50.6001593325,5951.237128,5.9020459165
"GHA","000","061",6.91711,-1.26417,"1e75006c-d0ad-46cb-80b6-8e7453b3ee6f","The record is duplicated in the schema; ",0.076246189861594,21.4,3.6,1.6,2.4,0.8,0,1.6,0,0,0,0,0,2.8,0,NA,NA,NA,NA,NA
"GHA","000","061",6.91711,-1.26417,"539362b4-f27a-4f89-9b53-bb44e5df6173","The record is duplicated in the schema; ",0.0734736011393542,21,3.6,1.6,2.4,0.8,0,1.6,0,0,0,0,0,4.2,0,NA,NA,NA,NA,NA
"GHA","000","063",5.71952,-0.76331,"d2eb050d-db93-4da9-a43b-fd46b8fc04a0","",0.845842472907705,22.1,1.6,3,2.6,0.4,0,2.4,0,0,0,0,0,2,0.8,0.040520198,0.52820366175,50.56,15754.333975,5.277731
"GHA","000","064",6.1862,-0.67636,"81cfdaf7-afe5-4072-8a38-068db180cdbf","The record is duplicated in the schema; ",0.72481377134614,26.35,3.8,3,1.2,2,0,0,0,0,0,0,0,5,0,0.0719392655,0.9307870815,50.680478,6066.235689,6.1009356665
"GHA","000","064",6.1862,-0.67636,"1e01bcda-247d-4dff-bf57-d27a7326dcad","The record is duplicated in the schema; ",0.724659511475097,26.2,3.6,3.2,1.4,1.8,0,0,0,0,0,0,0,4,0,0.0719392655,0.9307870815,50.680478,6066.235689,6.1009356665
"GHA","000","066",8.16584,0.50213,"37f4bd78-a124-448f-a778-fd46f4e3b870","""GPS SE accuracy"" is greater than 5; ",2.66866492352241,67.4,5.6,2,1.8,0,0,0,0,0,0,0.6,0,5.6,0,NA,NA,NA,NA,NA
"GHA","000","068",5.04954,-2.19333,"2990ece8-d005-498d-98d0-eeb34c94b0e9","",0.621453648509748,37.8,3.6,3.6,1.6,0,0,1.2,0,0,0,0,0,3.2,0,0.05459317825,0.78165278575,50.56,13937.14683475,5.01715075
"GHA","000","071",5.9382,-0.8475,"47de6326-4d81-47c7-b0ce-91da51033bd5","The record is duplicated in the schema; ",0.380506218477596,30.15,4.2,3.8,2,0,0,0,0,0,0,0,0,4.4,0,0.061759376,0.919559001,50.56,3704.531266,6.193871333
"GHA","000","071",5.9382,-0.3475,"a184cfd4-cd40-4540-9f0d-c91341485719","The record is duplicated in the schema; ",0.367649477400142,48.6,3.6,3.4,3,0,0,0,0,0,0,0,0,4.4,0,0.061759376,0.919559001,50.56,3704.531266,6.193871333
"GHA","000","073",7.29292,-2.26002,"330f3e76-7351-467f-8dd6-a7989a013c48","",1.54062057259738,50.5,2.6,3,1.6,0,0,2,0,0,0,0,0.8,3.2,0,NA,NA,NA,NA,NA
"GHA","000","074",7.43331,-2.08087,"cd4342b2-a73b-40fc-8888-9e63e32c35cc","",0.598827773149519,5.65,3.2,3,1.6,0,0,2.2,0,0,0,0,0,4,0,NA,NA,NA,NA,NA
"GHA","000","077",5.51583,-0.76994,"161d0c67-76ff-4c02-bc49-d73f3df86f7b","",0.519545579453695,43.15,1.8,2.2,3,2,0,0.6,0,0.4,0,0,0,4.2,0.8,0.082759043,1.07958845975,50.885315125,8154.4423475,6.2253716665
"GHA","000","078",6.56583,-0.94177,"73197984-c874-4863-a61f-646709ee0d9f","",2.55610855431074,67.05,6.6,2,1.4,0,0,0,0,0,0,0,0,7.2,0,NA,NA,NA,NA,NA
"GHA","000","079",6.09421,-2.0588,"694b5194-9c2b-4db3-811c-0667610f440c","",0.999872189596615,80.55,1.6,7,1,0,0,0,0,0.4,0,0,0,2,0,0.079484953,1.06007494225,81.6616376425,14728.0727985,6.2110715835
"GHA","000","082",6.91724,-2.27014,"0c8d7007-cbfe-4ee5-b3a5-01b94bd49132","",0.530654081003352,61.9,3.6,4.2,1.6,0,0,0.4,0,0,0,0,0.2,5,0,NA,NA,NA,NA,NA
"GHA","000","084",5.91465,-1.64295,"6c313576-f4a3-4ad3-a57b-69947d3d2268","",1.06793155949999,19.15,3.8,2.6,0.4,0.6,0,1.8,0,0,0,0.8,0,6,0.6,0.0500195373333333,0.745246328,50.56,17558.08081,5.362432778
"GHA","000","085",7.28553,-2.0121,"c6f20c7a-bd45-4bc0-9100-47b9d6d585d4","",0,8.9,3.6,1.4,1.4,2.4,0,1.2,0,0,0,0,0,4.8,0.2,NA,NA,NA,NA,NA
"GHA","000","086",7.22079,-1.9,"126ebc09-f2b3-4175-8c76-ceee94b97bc6","",0.333103242236258,40.65,4.6,3.2,1.2,0,0,0.8,0,0,0,0,0.2,4.4,0,NA,NA,NA,NA,NA
"GHA","000","090",5.87939,-0.93412,"71af632f-2872-454f-a8b0-1cc007fc474f","The record is duplicated in the schema; ",1.39960792959476,54,4.2,3.6,2.2,0,0,0,0,0,0,0,0,4.8,0,0.081867748,1.16874868466667,50.6344073333333,4236.420989,5.912535889
"GHA","000","090",5.87939,-0.93412,"abbc271a-a878-4be3-bf91-00b77ecebcfd","The record is duplicated in the schema; ",1.4262538159325,54,4.2,3.6,2.2,0,0,0,0,0,0,0,0,4.8,0,0.081867748,1.16874868466667,50.6344073333333,4236.420989,5.912535889
"GHA","000","091",6.44002,-1.68018,"dd5c1cf3-0ad1-4858-92d1-bf55e93c55b1","The record is duplicated in the schema; ",0.718620276085984,3.7,3.6,2,1.6,2.8,0,0,0,0,0,0,0,5.2,0,0.096871783,1.283414373,50.56,3871.021402,5.516105667
"GHA","000","091",6.44002,-1.68018,"631a57e4-8e5c-45b9-b6cc-7ae10f994d93","The record is duplicated in the schema; ",0.737167439056682,3.55,3.6,2,1.6,2.8,0,0,0,0,0,0,0,5.2,0,0.096871783,1.283414373,50.56,3871.021402,5.516105667
"GHA","000","092",6.37122,-0.35333,"a49a8401-30e6-4cd5-8296-11e103749e24","",1.82433063656579,53.55,5,3,1.6,0,0,0.4,0,0,0,0,0,5.4,0,NA,NA,NA,NA,NA
"GHA","000","093",6.30251,-1.61316,"49d31df3-d24a-427d-86d7-90fdf0453033","The record is duplicated in the schema; ",0.184377150028945,8.45,4.6,3.2,2.2,0,0,0,0,0,0,0,0,7.2,0,0.049376666,0.766449082666667,50.8228205266667,3090.62605733333,5.78856266666667
"GHA","000","093",6.30251,-1.61316,"b4d7ca9f-a129-4b0f-9c39-ae46c5a40307","The record is duplicated in the schema; ",0.194081210556785,8.45,4.6,3.2,2.2,0,0,0,0,0,0,0,0,7.4,0,0.049376666,0.766449082666667,50.8228205266667,3090.62605733333,5.78856266666667
"GHA","000","095",6.47959,0.15812,"3841ceb6-9f0a-492f-a8eb-79b26a1d6a43","""Subplot Radius"" is greater than 10; ",NA,32,7,1.8,1.2,0,0,0,0,0,0,0,0,7.8,0.2,NA,NA,NA,NA,NA
"GHA","000","096",7.01655,-1.89278,"8113ec1c-9e32-47ed-b473-d0874da4e7f7","The record is duplicated in the schema; ",1.58902691517397,53.15,4.2,3.6,2.2,0,0,0,0,0,0,0,0,4.6,0,0.065787608,0.9975162765,50.56,19309.10195,5.2867716665
"GHA","000","096",7.01655,-1.89278,"4cdb5bd4-9bbb-48c1-a66c-44c6cfe60290","The record is duplicated in the schema; ",1.58902691517397,52.75,4.2,3.6,2.2,0,0,0,0,0,0,0,0,4.6,0,0.065787608,0.9975162765,50.56,19309.10195,5.2867716665
"GHA","000","098",5.1007,-1.38914,"21e34b5b-808f-457e-92be-884961bad55c","The record is duplicated in the schema; ",0,12.35,7.4,2,0.6,0,0,0,0,0,0,0,0,8.6,0,0.07801295075,0.99827451175,50.5800796675,7450.21560825,6.66414241675
"GHA","000","098",5.1007,-1.38914,"c6f257e0-a4f8-4689-8ae0-4ab70b3984cd","The record is duplicated in the schema; ",0,12.4,6.8,2.2,1,0,0,0,0,0,0,0,0,8.6,0,0.07801295075,0.99827451175,50.5800796675,7450.21560825,6.66414241675
"GHA","000","101",7.35182,0.45468,"1a1c9b9f-87c5-4e1d-b863-109db4ca5672","",0.403411659085888,19.65,6.8,1.6,1.2,0.4,0,0,0,0,0,0,0,6.2,0.2,NA,NA,NA,NA,NA
"GHA","000","102",5.77963,-1.15817,"ac1c53ab-c6de-4be4-b1bd-aff4d2ed96de","The record is duplicated in the schema; ",0.87097507541145,83.9,2.8,5.2,2,0,0,0,0,0,0,0,0,3.8,0,0.080312931,1.06199610675,50.620239,3576.83793375,6.1830825835
"GHA","000","102",5.77963,-1.15817,"7cd99cc6-1071-4f39-92c9-e55db48000a2","The record is duplicated in the schema; ",0.889584453349251,87.5,3.2,5,1.8,0,0,0,0,0,0,0,0,3.8,0,0.080312931,1.06199610675,50.620239,3576.83793375,6.1830825835
"GHA","000","105",5.51294,-0.69376,"b105daa5-d45d-4bce-9269-43867bb7f375","",0.980274494925355,27.05,2,1.8,1,2.2,0,3,0,0,0,0,0,3,1.6,0.06351011925,0.89438520475,54.9936914925,29217.1614375,6.70579749975
"GHA","000","106",6.86279,-1.83843,"b0cb5e48-681f-4cdc-86c8-05875cdefefc","The record is duplicated in the schema; ",NA,0,5.4,2.8,1.4,0.4,0,0,0,0,0,0,0,9,0,0.10449123225,1.3086225545,79.3331037925,5376.30912825,6.54425058325
"GHA","000","106",6.86279,-1.83843,"8c98d419-520e-406d-be89-cd07bf44d9eb","The record is duplicated in the schema; ",NA,0,5.4,2.8,1.4,0.4,0,0,0,0,0,0,0,9,0,0.10449123225,1.3086225545,79.3331037925,5376.30912825,6.54425058325
"GHA","000","109",7.017,-2.01009,"d560bcd8-e280-446d-aeeb-f948ef3aef1a","",1.12351026694099,48,4,2,2,0.6,0,0,1.4,0,0,0,0,3.8,0.2,NA,NA,NA,NA,NA
"GHA","000","110",7.33004,-2.36246,"7490ec84-a5e0-497f-9efb-6fbaa0af6c80","",1.71053904684079,19.9,6,2.4,1.2,0,0,0.2,0,0,0,0.2,0,5.4,0,NA,NA,NA,NA,NA
"GHA","000","111",7.16373,-1.53271,"1d7125d2-6913-491a-9fb6-63d7e8b2fb78","",0.310609230585792,43.3,4,3.4,1,0,0,1.6,0,0,0,0,0,3.8,0,NA,NA,NA,NA,NA
"GHA","000","112",7.26073,-1.72204,"da5204d2-dcfe-42bd-872a-c23a497c39fe","",0.723784661610361,27.15,5.4,2.2,1.6,0,0,0.8,0,0,0,0,0,4,0.4,NA,NA,NA,NA,NA
"GHA","000","114",6.60973,-2.10182,"9b8845ad-6bad-4c23-8427-341523299c6c","The record is duplicated in the schema; ",0.132691420839872,55.8,2,5.6,2.4,0,0,0,0,0,0,0,0,3,0,0.074035532,0.9970157145,51.2932235,6068.489069,6.1244423335
"GHA","000","114",6.60973,-2.10182,"16e68ea1-938b-429d-ae71-764c6ff0b7bb","The record is duplicated in the schema; ",0.132691420839872,55.8,2,5.6,1.6,0.8,0,0,0,0,0,0,0,3,0,0.074035532,0.9970157145,51.2932235,6068.489069,6.1244423335
"GHA","000","116",5.60424,-1.54953,"13511875-4919-4392-a02f-e0a410a46709","",0.0388162421113569,9.4,4.8,1.6,0.2,1.6,0,1.8,0,0,0,0,0,5.4,0.6,0.0752465955,0.99968273825,53.38448017,4404.29175525,6.41828908325
"GHA","000","117",5.95368,-0.22345,"ac9d84d2-2b58-4eb8-a5f8-bd888ef288a2","The record is duplicated in the schema; ",1.31440831343984,42.55,3.6,2.8,3,0,0,0.4,0,0,0.2,0,0,6.8,0,0.08258722825,1.03232651675,53.0458553825,19467.72299,7.10192325
"GHA","000","117",5.95368,-0.22345,"dff083ee-dae2-400e-87d6-04c3c5fcc4a7","The record is duplicated in the schema; ",1.29415784107236,42.55,3.6,2.8,3,0,0,0,0,0.4,0.2,0,0,6.8,0,0.08258722825,1.03232651675,53.0458553825,19467.72299,7.10192325
"GHA","000","120",5.22113,-2.43993,"cd47e00b-74ee-4383-9614-86cbdf64d1b8","",3.36549887855421,86.1,5.2,3.6,1.2,0,0,0,0,0,0,0,0,5.2,0,0.075782823,1.0690041595,50.56,3694.64809,4.8553323335
"GHA","000","123",6.45797,-1.58839,"dffda889-4c15-4b4a-bca4-b384b25e6662","The record is duplicated in the schema; ",0.37707206622461,2.7,2.8,3,1.8,2.4,0,0,0,0,0,0,0,3.2,0,0.1382683565,1.732967865,50.94505795,8191.2492005,6.501377
"GHA","000","123",6.45797,-1.58839,"7009b991-b87b-4a9b-ab0d-962674bafca8","The record is duplicated in the schema; ",0.310529936890856,3.45,2.8,3,1.8,2.4,0,0,0,0,0,0,0,3.2,0,0.1382683565,1.732967865,50.94505795,8191.2492005,6.501377
"GHA","000","124",6.29812,-1.65479,"543e7075-77fa-43fb-88c8-adb765a5f0e8","The record is duplicated in the schema; ",0.865520945267922,23.8,4.8,2.8,2.2,0.2,0,0,0,0,0,0,0,6,0,0.130663158,1.69753286166667,75.8552366,5490.06788066667,5.893612
"GHA","000","124",6.29812,-1.65479,"406a92d8-b11a-4a66-a641-67bce8c02ed8","The record is duplicated in the schema; ",0.85708087905442,23.5,4.8,2.8,2.2,0.2,0,0,0,0,0,0,0,6,0,0.130663158,1.69753286166667,75.8552366,5490.06788066667,5.893612
"GHA","000","127",7.20487,0.25353,"2257d232-9e08-4fcb-a054-79eabb8f7ad6","",1.02961512437645,47.3,4.4,3.6,1.4,0.6,0,0,0,0,0,0,0,6.2,0,NA,NA,NA,NA,NA
"GHA","000","128",5.76517,-1.6066,"e9c8dbb3-21c9-4673-8e57-48770ea71f8a","",1.74882820426202,66.55,3.4,3.6,1.8,0,0,0.4,0,0,0,0,0.8,4.8,0,0.04037682125,0.523549813,51.43380016,13638.54729025,5.63616766675
"GHA","000","129",7.26181,-1.6359,"e323859e-5644-4649-81b8-e40fefa14b46","",0.372913183141251,7.2,3.8,1.8,0.4,0.4,0,2.8,0.8,0,0,0,0,2.4,0.4,NA,NA,NA,NA,NA
"GHA","000","130",5.54856,-1.20594,"2d4d88da-e40f-4e20-b6fc-e9152cb49369","The record is duplicated in the schema; ",0.287364304680956,47.7,4.6,3.8,1.6,0,0,0,0,0,0,0,0,6.4,0,0.05978631375,0.818848673,51.05715075,8504.0690985,6.11261675025
"GHA","000","130",5.54856,-1.20594,"8e042129-eb2c-4768-b648-ed68f79066c0","The record is duplicated in the schema; ",0.269293796077601,47.7,4.6,3.8,1.6,0,0,0,0,0,0,0,0,6.4,0,0.05978631375,0.818848673,51.05715075,8504.0690985,6.11261675025
"GHA","000","133",6.34261,-0.35052,"f59c4bcd-027c-4bc7-a2e7-be5a97f8cd57","",1.53500911707789,45.95,6.6,2,1.4,0,0,0,0,0,0,0,0,6.2,0,NA,NA,NA,NA,NA
"GHA","000","134",7.38259,-2.18632,"28e977ba-e501-4fca-9867-2d0e48ec2c09","",0.55517441479313,2.75,2.4,0.8,0.6,2.2,0,0.6,3.4,0,0,0,0,1.6,0.8,NA,NA,NA,NA,NA
"GHA","000","135",6.49161,0.50335,"3fcff5b1-f7ac-4288-9742-75bfd5695451","",1.26877002507623,30.15,3.6,2.2,1.4,1.2,0,1.2,0,0,0.2,0.2,0,3.6,0.2,NA,NA,NA,NA,NA
"GHA","000","136",5.81682,-1.59113,"bea2714b-6528-4b69-a203-eb80b37223e1","",0.704693143854009,35.8,2.6,3.6,3.4,0,0,0.2,0,0,0.2,0,0,3.4,0,0.0660191516666667,0.696329352333333,50.56,12539.6505066667,6.87127166666667
"GHA","000","137",5.44685,-0.97502,"9a7df13a-b555-4449-bf5a-7c205e8913c9","",1.42640898500031,0.75,3.6,2.4,2,0.4,0,0.4,0.8,0.2,0,0,0.2,4,0.4,0.0484932463333333,0.601731855333333,50.56,11206.093829,6.33144722233333
"GHA","000","138",10.50898,0.10283,"7c5d2f7a-0644-49c7-afc4-fcdcf332af55","",0,0,0,3.2,0.4,3,1.6,1.8,0,0,0,0,0,0,0,0.0305872035,0.515726929,50.640318665,4786.628932,6.010098167
"GHA","000","139",7.17085,-1.40611,"e4ed67a7-8d5e-400f-8b24-7d22fc9857c3","",0.650755060234242,62.7,4.8,3,1.4,0,0,0,0.8,0,0,0,0,7,0,NA,NA,NA,NA,NA
"GHA","000","140",5.68166,-0.62539,"b9090e6d-17a8-4182-8ea3-7ab24bdba77f","",0,9.35,2.2,3,1.6,1,0,1.8,0,0.4,0,0,0,3.8,0.6,0.07231305375,0.9200947655,50.6158055,12818.920893,6.32827075
"GHA","000","141",5.95172,-0.16367,"1165ab38-79bc-4c6a-8344-f29ba68889a6","The record is duplicated in the schema; ",0.25507816244606,19.2,7.4,2,0.6,0,0,0,0,0,0,0,0,9.2,0,0.0749219295,0.93089065975,50.56,2915.16328875,6.43678608325
"GHA","000","141",5.95172,-0.16367,"0d290ce8-4d0f-40c8-9cdc-ae2868bd298d","The record is duplicated in the schema; ",0.223193392140302,19.2,7.4,2,0.6,0,0,0,0,0,0,0,0,9.2,0,0.0749219295,0.93089065975,50.56,2915.16328875,6.43678608325
"GHA","000","143",6.2045,-0.88635,"f540e81d-f78d-436b-8ff9-3e38253cbdb5","The record is duplicated in the schema; ",1.09861228866811,52.8,5.8,2.6,1.6,0,0,0,0,0,0,0,0,7.2,0,0.109001902,1.384683369,50.56,5184.4138115,5.804229167
"GHA","000","143",6.2045,-0.88635,"41da1004-e602-4c93-83dd-cee1d7adf042","The record is duplicated in the schema; ",1.09861228866811,57.6,5.8,2.6,1.6,0,0,0,0,0,0,0,0,6.2,0,0.109001902,1.384683369,50.56,5184.4138115,5.804229167
"GHA","000","144",6.65769,-1.15793,"d710e84b-113d-4410-9bc0-ac4e00ea6878","",1.39230907872835,35.35,4.4,2,1.6,0,0,2,0,0,0,0,0,4.4,0,NA,NA,NA,NA,NA
"GHA","000","145",7.48178,-2.2669,"ebf9ab02-db94-41f8-804d-05cdabcfa1f3","",0.956888852724117,14.2,3.6,2.4,1.6,0.8,0,0,1.2,0,0,0.4,0,3.2,0,NA,NA,NA,NA,NA
"GHA","000","147",5.71805,-1.57438,"bb3b3ae0-0ddd-44ea-92cc-7cfcbc50571b","",2.66583421418224,85.2,3.2,4.4,2.4,0,0,0,0,0,0,0,0,4.2,0,0.0386269475,0.5478596215,54.2828105125,8949.80702775,6.0909766665
"GHA","000","148",7.84709,0.47661,"8cf6345e-09b0-4ea0-9c53-8a9df3264b34","The record is duplicated in the schema; ",1.507320441715,48,6.8,2.2,1,0,0,0,0,0,0,0,0,8.6,0,NA,NA,NA,NA,NA
"GHA","000","148",6.4494,-1.91992,"0aa0d46b-e100-461a-ac7b-011afbbfdc44","The record is duplicated in the schema; ",0.486589320753082,56.85,4.2,3.6,1.8,0.4,0,0,0,0,0,0,0,7.4,0,NA,NA,NA,NA,NA
"GHA","000","149",6.4494,-1.91992,"fcc5af42-374e-491a-bf9d-0053c7f9fe93","",0.493520792558681,58.55,4.2,3.6,1.8,0.4,0,0,0,0,0,0,0,7.4,0,0.05116986425,0.6867906065,50.616223065,8624.6876695,6.089332417
"GHA","000","150",6.62752,-1.56141,"ad1262c2-4aee-4758-95b9-ff4dcb2440e7","The record is duplicated in the schema; ",0,3.7,1.8,1.2,0.8,4,0,2.2,0,0,0,0,0,1.8,0.2,0.05148958775,0.716015134,50.56,12621.8905095,6.1948706665
"GHA","000","150",6.62752,-1.56141,"a690b3ad-711b-40a7-9305-e8cdf56cd509","The record is duplicated in the schema; ",0,3.65,1.8,1.2,0.8,4,0,2.2,0,0,0,0,0,1.8,0.2,0.05148958775,0.716015134,50.56,12621.8905095,6.1948706665
"GHA","000","151",5.28498,-1.40309,"5f9eb9c1-ed20-455a-aecc-17c26680ebbb","The record is duplicated in the schema; ",0.788418655078851,40.05,6.8,2.4,0.8,0,0,0,0,0,0,0,0,6.6,0,0.098693733,1.255309862,50.56,12013.301455,5.9644743335
