"Household.ID","Country","Landscape..","Crops","Permanent.Crops","Livestock.Byproducts","Livestock","Crop.Byproducts","total"
"3BWtidtw1gB","UGA","L03",68000,0,0,0,5000,73000
"3csKwZMd8vA","UGA","L02",1535200,308000,480000,10529.4708994709,29000,2362729.47089947
"3eWkuw2PPtA","UGA","L03",495000,54000,24000,120000,0,693000
"3f7GFEXbaK","UGA","L03",50000,246000,0,0,0,296000
"3hzQ4hJNWpA","RWA","L06",1e+06,115000,5e+05,920000,4500,2539500
"3oYDbENAuo","GHA","L03",2132,0,10,30,0,2172
"3WbmqA7gbk2","UGA","L01",158800,50000,20000,29142.8571428571,10000,267942.857142857
"41YTq8opiW8","TZA","L03",1198000,0,18000,48916.6666666667,0,1264916.66666667
"43ozar7mLV6","UGA","L03",768500,510000,2100,30000,-3500,1307100
"43RqATksCs8","UGA","L06",1696100,510000,120000,239796.296296296,12000,2577896.2962963
"4aupp5Gqjv6","RWA","L02",302050,36000,0,0,28500,366550
"4DD1mGbS2b6","GHA","L05",5760,5820,0,75,144000,155655
"4FP6ukTTsQ8","TZA","L19",660000,0,0,16962.962962963,0,676962.962962963
"4GxE5frHnQ4","UGA","L02",701000,280000,3099,0,0,984099
"4LtjetWmyU6","TZA","L19",50000,0,16000,110888.888888889,0,176888.888888889
"4Ltk7eBsFy2","UGA","L06",277500,338000,16000,188981.481481481,600,821081.481481481
"4mjZfGs3Aw","UGA","L03",607000,510000,0,0,6100,1123100
"4MTsyUHiaX4","UGA","L04",251200,10000,0,0,0,261200
"4NfJeixyr6A","TZA","L22",2e+05,0,0,0,0,2e+05
"4TD5PFFKHJ7","GHA","L06",4710,3320,514,1609.95833333333,0,10153.9583333333
"4uYtGb6q1h5","RWA","L01",185300,186000,92000,135000,0,598300
"4wawPvHomv","UGA","L04",351500,33000,9000,0,0,393500
"4xFbY5oyU82","GHA","L06",-140,0,0,0,0,-140
"4YxLyEvHcr2","UGA","L01",689000,195000,28000,0,0,912000
"51brKTHzvAB","TZA","L11",2e+05,0,45000,19857.1428571429,0,264857.142857143
"52MH5CafZg9","UGA","L04",147000,0,0,0,0,147000
"56esinYPtWB","GHA","L03",2245,0,20,164.3,0,2429.3
"5a2WfRTPWS2","UGA","L06",788000,1096000,7000,0,14600,1905600
"5AjH6QaGU24","RWA","L04",67500,13200,16400,0,0,97100
"5BM4RJvhSqA","UGA","L03",188000,920000,28900,0,0,1136900
"5DkfDPaXxW6","RWA","L06",184400,235000,90000,18500,44631.4219114219,572531.421911422
"5FTsNB6cw66","RWA","L07",37700,11500,0,0,2600,51800
"5G241XCT6VA","GHA","L03",41185,0,35,264.4,0,41484.4
"5JcGGbr2Y88","GHA","L03",2822.5,0,7.5,160.8,0,2990.8
"5oGmpb8QJLA","TZA","L22",2525000,80000,60000,134692.307692308,0,2799692.30769231
"5R7zjWiS4o","TZA","L03",568000,0,110000,169722.222222222,0,847722.222222222
"5rf37agRoT5","GHA","L04",4493.5,860,150,39.7222222222222,0,5543.22222222222
"5s4t5icCN2","RWA","L03",-25500,0,36000,2e+05,19250,229750
"5xb8kqgFVh9","GHA","L01",11804.8,0,50,222.75,0,12077.55
"5xjULrvkzz3","TZA","L18",-452000,0,0,0,0,-452000
"5xza3zKCC65","UGA","L02",942700,1343000,476000,0,-500,2761200
"65WUiskq7g6","TZA","L20",3855000,0,717000,1328350.79365079,0,5900350.79365079
"6auvr3dPvX4","TZA","L19",360000,98000,4800,57444.4444444444,0,520244.444444444
"6gioKTgu1a9","TZA","L10",485000,0,0,0,0,485000
"6knFhJg33R9","UGA","L04",424000,0,7000,70000,0,501000
"6L8XQ2ivNNB","UGA","L07",118500,560000,65000,0,0,743500
"6NYkNXf4fW6","TZA","L18",2011650,20000,15000,22444.4444444444,0,2069094.44444444
"6o1LRkbmmy9","GHA","L05",4232,4405,250,1590,0,10477
"6rFDY18oMR9","GHA","L05",8280,8280,15,45,0,16620
"6s9v6agXWi3","TZA","L18",1476000,0,10500,8444.44444444445,0,1494944.44444444
"6vh1fcZWV2A","RWA","L04",71300,23000,5000,0,4000,103300
"6vK31iR7nAA","TZA","L22",480000,0,0,0,0,480000
"6VtbLtrb1D3","RWA","L04",10400,9000,40000,0,0,59400
"6vZXvHtQdG2","UGA","L06",8e+05,30000,45000,174490.740740741,0,1049490.74074074
"6zdLptApzZ2","RWA","L02",269000,30000,30000,30000,0,359000
"73M3dsnzvJ7","TZA","L22",1136000,0,0,36241.7582417582,0,1172241.75824176
"7GEs4txMBL9","TZA","L18",106500,30000,3000,0,0,139500
"7HuaMEgyTz4","RWA","L02",155000,0,30000,0,0,185000
"7KKdwdFxzG7","GHA","L06",8165,12000,288,1608.25589450656,1800,23861.2558945066
"7NvFkzHDPpA","TZA","L10",175000,20000,6000,49380.9523809524,0,250380.952380952
"7yhK3asbcg8","UGA","L07",290400,261000,11000,32666.6666666667,0,595066.666666667
"84Tt3igkks","TZA","L22",270000,0,6000,0,0,276000
"87qeDKg8sj5","GHA","L01",2300,0,358,59.5,0,2717.5
"8bfdq81qVM8","TZA","L11",399000,0,15000,199571.428571429,0,613571.428571429
"8DoKMFq9rv7","RWA","L01",196600,112000,35000,18000,1800,363400
"8jLMpgU7qmA","UGA","L02",31800,290000,3000,120000,8400,453200
"8LgQmjxaed7","RWA","L07",24000,0,30000,0,2500,56500
"8pbKc5jDHS6","TZA","L22",281000,0,45000,25655.6776556777,0,351655.677655678
"8QSNRiJbU45","RWA","L07",29000,6500,3000,0,0,38500
"8r9jJ38EDF2","UGA","L01",186500,123000,0,0,0,309500
"8RDtceCXmi7","TZA","L03",825000,20000,120000,114909.722222222,0,1079909.72222222
"8rMnuSjsKfA","RWA","L07",54800,0,0,0,10000,64800
"8WWivGcFUz5","UGA","L03",2434000,460000,532000,30000,-1000,3455000
"9921bP6EeY4","TZA","L18",340000,66000,43200,16888.8888888889,0,466088.888888889
"9D4NrgAzDH4","UGA","L07",622000,780000,7000,519648.80952381,0,1928648.80952381
"9ES5SSTauT6","TZA","L10",73000,25000,0,56071.4285714286,0,154071.428571429
"9iKLxLjVu77","UGA","L04",555400,0,40000,0,0,595400
"9M4qT2DMJj","GHA","L04",5420,5620,80,1615.27777777778,0,12735.2777777778
"9P8HkL34az2","UGA","L02",707600,55000,105000,1883288.41269841,7000,2757888.41269841
"9s7aPD8ZRh7","RWA","L07",371000,286000,57000,364000,5200,1083200
"9upFZJLCfM2","RWA","L01",123930,0,193400,320000,0,637330
"9uri5wypzL4","TZA","L22",794000,0,15000,70553.1135531136,0,879553.113553114
"9WWgnSHHAA6","TZA","L03",155000,20000,64000,17916.6666666667,0,256916.666666667
"9yvw1XWDNpA","RWA","L07",21650,3300,3000,0,0,27950
"A4HX8ZvF3a8","TZA","L22",150000,0,0,0,0,150000
"a77UhCZgDh2","TZA","L19",7545000,90000,14000,210888.888888889,0,7859888.88888889
"aANwrQbMsa3","UGA","L01",889200,135000,16000,29571.4285714286,0,1069771.42857143
"aC1Yp9Vbbb9","GHA","L02",11887,0,50,0,0,11937
"ACtMM9ksKX9","RWA","L06",100300,46950,5000,0,19507.8554778555,171757.855477855
"aDnodjimek6","RWA","L01",46100,11000,68000,165000,5800,295900
"aEPhhDYMsKA","GHA","L01",1692,0,2.5,0,0,1694.5
"aFuKnt435e8","TZA","L19",2740000,5e+05,0,269629.62962963,0,3509629.62962963
"Ag8CWapFXT9","RWA","L01",518700,154000,164000,0,12498,849198
"ah2mXHfB7w4","RWA","L07",22700,3560,4000,0,0,30260
"AKMWbrcHqo7","GHA","L04",-18,0,0,0,0,-18
"akR9WC1ESX","UGA","L04",1247300,0,210000,0,1400,1458700
"am7bPMj2uA","RWA","L02",839400,0,20000,0,0,859400
"An4VyekaKi6","TZA","L22",393600,0,19200,14413.9194139194,0,427213.919413919
"aNYTfhJUuk9","TZA","L19",4446000,0,4800,8481.48148148148,0,4459281.48148148
"AoyYjSvsgJA","RWA","L02",81500,23000,10000,0,1760,116260
"ArjKWQXjiQ2","GHA","L02",532,0,0,32.4847222222222,0,564.484722222222
"arUegScQDF9","GHA","L02",8880,0,80,1244.08055555556,0,10204.0805555556
"AVbrhtAbDP5","RWA","L04",311950,387252,30000,220000,11000,960202
"AvkkCXoYrg8","RWA","L06",106000,94000,18500,25000,107315.710955711,350815.710955711
"Az5BDLdFCQB","RWA","L02",365000,0,45000,0,0,410000
"AZbZLMWXXU5","GHA","L04",-1715,200,3750,3653.33333333333,0,5888.33333333333
"B77fdVMrcbB","UGA","L02",289000,470000,1229000,1552647.35449735,0,3540647.35449735
"B7g3YrTCTUB","TZA","L19",150000,90000,0,0,0,240000
"B8yvkFk2DJ5","RWA","L03",50000,78500,4500,12000,50000,195000
"bbQXrXaEo96","TZA","L10",105000,0,8000,18690.4761904762,0,131690.476190476
"BcLx8GwEyf5","TZA","L19",536000,2e+05,0,141777.777777778,0,877777.777777778
"bdXeZG9z586","RWA","L04",131020,309000,208000,480000,3800,1131820
"BiwTi7hdY7","UGA","L03",114400,145000,3000,30000,0,292400
"BNLAgvK3aCA","GHA","L02",3054,0,0,937.958333333333,0,3991.95833333333
"bnNcJ3bknL7","GHA","L01",2734,0,0,286.25,0,3020.25
"BP6YrbuDcL","TZA","L22",1732000,40000,63000,115450.549450549,0,1950450.54945055
"Br9y98ZGdk8","TZA","L10",290000,0,72000,49035.7142857143,0,411035.714285714
"BrVjLcZwqr3","RWA","L06",467950,426650,50750,20000,89447.1328671329,1054797.13286713
"bsDhjVrvZ8B","RWA","L03",177500,131500,9000,0,0,318000
"bUbW5XZNtd3","UGA","L02",62000,230000,10000,0,0,302000
"bvFDUPT6cv8","GHA","L03",3275,0,59,171.5,0,3505.5
"BVUEfqZQ6KA","TZA","L22",619000,0,60000,128278.388278388,0,807278.388278388
"bW7iZTf8uW7","RWA","L01",148000,4000,50000,60000,10500,272500
"BwcbgH6pxh9","GHA","L06",-100,0,32,320.793631502188,0,252.793631502188
"BXfxdbawNd8","TZA","L11",210000,0,0,0,0,210000
"c2cooWnTEh2","RWA","L06",107000,13000,28120,24000,26700,198820
"C3b2zHKsNU3","RWA","L07",69600,80000,4000,0,0,153600
"c4ZGhkt4uq2","GHA","L06",1034,1320,0.5,0,0,2354.5
"C56aeDFWPa7","RWA","L07",187550,20000,6000,0,13000,226550
"C7yu9JZpZ96","GHA","L03",-224,0,50,980.766666666667,0,806.766666666667
"c8oh3AnL1P","UGA","L02",18000,345000,8000,0,0,371000
"CGeuGzTDPV5","RWA","L06",269200,437600,60000,225000,20000,1011800
"ciQdXdUfHV6","TZA","L20",42500,0,0,0,0,42500
"ckvwCyqWX59","TZA","L11",138500,155000,15000,0,0,308500
"CLcgNTsm4y7","UGA","L03",3459000,1594500,27000,285000,1600,5367100
"CnNmmWuhuE4","TZA","L11",224000,0,9000,9928.57142857143,0,242928.571428571
"CnrK9APvaT4","RWA","L07",17800,1500,2000,0,7500,28800
"cQsxahQ8sm8","RWA","L07",10060,1600,30000,15000,0,56660
"CR6uc2DJjF2","UGA","L01",1219500,440000,12000,103285.714285714,10000,1784785.71428571
"cSN6zpcALp9","GHA","L02",4739,0,74,614.328373015873,0,5427.32837301587
"CTRQQXCQTVB","GHA","L06",-163,1000,480,1128.63875384865,21240,23685.6387538486
"cTxbn5tVsdA","UGA","L07",371000,25000,8000,20666.6666666667,0,424666.666666667
"cuVuG6WmhC5","RWA","L04",152100,0,1400,46000,8000,207500
"CW2n61MumoA","UGA","L04",125000,0,5000,0,0,130000
"CxdDadFVXS7","RWA","L01",347950,192000,28000,74500,6500,648950
"CxMdVRz4Fo","GHA","L04",2110,0,0,224.166666666667,0,2334.16666666667
"cZWWUyRwuTA","RWA","L01",700300,200200,220000,356000,3000,1479500
"D3dra7efrt6","UGA","L01",574000,56000,12000,29571.4285714286,0,671571.428571429
"D3k4R1hEUdA","UGA","L02",177800,120000,9099,55529.4708994709,1700,364128.470899471
"d4TMBLeBJr2","GHA","L02",3789,0,10,119.080555555556,0,3918.08055555556
"d77n4FzyP99","RWA","L02",110900,0,40000,120000,0,270900
"DEfS8gcomk3","RWA","L02",69600,2000,10000,12000,6300,99900
"dFX9VzkXhCA","TZA","L03",234000,0,0,0,0,234000
"dmUnjxva8t4","UGA","L06",1420000,108600,60000,223472.222222222,81600,1893672.22222222
"dQNLmp8vbx7","GHA","L01",696,0,0,0,0,696
"DRwp2xk3gPB","RWA","L03",503050,15000,14000,0,20000,552050
"dSafpBy1bV9","GHA","L04",210,0,0,198.611111111111,0,408.611111111111
"dtBzhqj3kQA","TZA","L10",152000,0,6000,38690.4761904762,0,196690.476190476
"DUyLNfXcu24","UGA","L01",333600,352000,16000,0,0,701600
"dVN9QRTY6b4","RWA","L06",371900,50000,24000,0,49539.2773892774,495439.277389277
"dVULAjf4W89","GHA","L01",369,0,10,84.25,0,463.25
"Dw3Ud994KTB","UGA","L04",440000,4500,7000,0,0,451500
"dWWPvz9La34","GHA","L03",1332,0,0,0,0,1332
"DybB4C7m1V6","RWA","L03",89000,85700,4000,28000,2000,208700
"dyd2EZBuR66","TZA","L18",457000,0,0,136888.888888889,0,593888.888888889
"e2RyT8u9Vs5","RWA","L01",18600,0,155000,2e+05,2550,376150
"E3EGXT3BJS5","GHA","L06",900,0,28,428.916666666667,0,1356.91666666667
"e3YsHqYkYK6","RWA","L06",582900,450000,45000,15000,83493.2051282051,1176393.20512821
"e4zTqWoHTi","GHA","L01",7600,0,5,190,0,7795
"e7KZhetzbx","TZA","L03",240000,0,0,27000,0,267000
"E9xodbJqWb8","UGA","L07",56000,0,4000,0,0,60000
"ea6XKQhZyd3","UGA","L02",119000,2960000,377000,450000,0,3906000
"EAdeyuGhu85","GHA","L01",186,0,4,189.430555555556,0,379.430555555556
"eaQik5x8C35","GHA","L03",9278,0,25,57.2,0,9360.2
"eBi2TWWBfPA","TZA","L11",210000,10000,20000,9928.57142857143,0,249928.571428571
"EhEwHyqcgE7","TZA","L20",820000,0,0,0,0,820000
"EhXFcHgzLr8","RWA","L07",74500,28000,53000,150000,13000,318500
"EJpjhf8ixG7","RWA","L04",42940,14000,14000,15000,0,85940
"EmjTzkKPcK4","GHA","L01",-880,0,0,6000,0,5120
"EnufChhcvN6","TZA","L20",2871000,0,30000,74935.1851851852,0,2975935.18518519
"EQM92niTjw","UGA","L07",140000,0,10000,50666.6666666667,0,200666.666666667
"EQUQxBxxA28","UGA","L01",346000,160000,16000,54571.4285714286,0,576571.428571429
"ERzfUDJvVr5","TZA","L11",425500,0,15000,139714.285714286,0,580214.285714286
"eSXVTUZDKD3","RWA","L03",584900,114500,15000,45000,2000,761400
"ev9j4bGtBTB","GHA","L04",1175,0,150,587.638888888889,0,1912.63888888889
"eVbuv11Jya9","RWA","L01",387000,67800,96000,207500,5000,763300
"EXzXQD4FSm3","RWA","L03",75200,0,0,0,0,75200
"eYyzj3xgGn8","GHA","L06",-60,0,10,57.8333333333333,0,7.83333333333334
"eZcn1r4ZHQA","UGA","L07",228000,0,0,0,1200,229200
"eze6AQDVxQ4","GHA","L04",1215,2120,0,39.7222222222222,580,3954.72222222222
"f52oa28ri63","UGA","L06",481200,40000,10000,274694.444444444,58500,864394.444444444
"F6gmnrrGL93","UGA","L01",452000,30000,144000,72857.1428571429,36000,734857.142857143
"FcfWcnPR1A6","GHA","L01",282,0,10,0,0,292
"FEggU1cWz95","GHA","L05",-490,2750,0,0,0,2260
"fHLhUbHi259","RWA","L02",61000,0,5000,40000,3000,109000
"fiLpRcMBzoA","RWA","L06",107000,37500,10000,0,1400,155900
"FiycRUoeZh","UGA","L07",155000,30000,10500,1193000,4000,1392500
"fkisAfkhBS2","GHA","L02",48,0,0,2400,0,2448
"fKYGZhSCHi5","TZA","L18",985000,0,60000,56888.8888888889,0,1101888.88888889
"fL32p1TYNb8","RWA","L03",120000,244000,15000,28000,6000,413000
"fMF9APviXm9","TZA","L11",2142000,50020,12600,29785.7142857143,0,2234405.71428571
"FnGwGBNbLj6","UGA","L06",3185000,1504000,120000,2893648.14814815,12000,7714648.14814815
"fqBewDc4e89","UGA","L01",262500,76500,14000,0,0,353000
"fSLig1NkSU7","RWA","L01",75250,6240,25000,0,0,106490
"fss8vTYFEz2","TZA","L22",410000,0,36000,350805.860805861,0,796805.860805861
"FtidgPbhow5","RWA","L02",9900,0,1500,0,4000,15400
"fUSEvjoZCe","TZA","L19",4e+05,25000,6300,44444.4444444444,0,475744.444444444
"fUwjdZnv1x2","UGA","L06",942000,265000,15000,304287.037037037,60000,1586287.03703704
"fvoTDbKYuW5","UGA","L03",180000,607000,900,15000,0,802900
"fxSB64jdaSA","TZA","L22",135200,0,15000,43655.6776556777,0,193855.677655678
"fYfZbzp5Nv8","UGA","L02",37000,1200000,28400,926058.941798942,7500,2198958.94179894
"FYM9NczMwv9","GHA","L05",80,0,0,0,0,80
"fyW9nSiREpA","GHA","L05",-345,180,0,0,0,-165
"fzVneyP9Mg7","RWA","L04",48900,0,15000,0,0,63900
"g2ZqebmF5z8","TZA","L10",379500,0,0,0,0,379500
"G8pqkT9RvZB","TZA","L20",1392000,0,350000,1930474.07407407,0,3672474.07407407
"GAwYHaSgWn8","GHA","L06",960,0,0,240,0,1200
"GBGa6M3rbd3","RWA","L01",306080,39900,90000,50000,7000,492980
"GDXUCUdQZB6","GHA","L03",320,0,43,30,0,393
"GEgBv7HAf68","GHA","L01",5350,0,48,452,0,5850
"gEi4dQZTGjA","GHA","L02",12645,8030,100,-250.47380952381,0,20524.5261904762
"GEpVmB1chZ","UGA","L04",315000,0,0,0,0,315000
"gggGZ6AgZ6A","GHA","L05",3550,1800,50,90,0,5490
"ggHPuVorAC2","UGA","L07",50000,1603000,0,0,0,1653000
"GJymWVjaQVB","RWA","L04",94600,15000,165000,269000,6000,549600
"GLaBCfmRHT9","GHA","L02",1190,0,0,14.9694444444444,0,1204.96944444444
"go6Ch5Km3k7","GHA","L02",6772,0,25,124.019444444444,0,6921.01944444444
"Goj6tydZtp2","TZA","L03",2279000,0,90000,20916.6666666667,0,2389916.66666667
"GPDYh6MvUT3","UGA","L04",301000,3000,3000,80000,0,387000
"GPMVX5tyrx4","GHA","L03",3882,0,0,0,0,3882
"gpPmZSQZXY5","TZA","L19",360000,235000,49200,0,0,644200
"Gr3yWAqnod7","UGA","L06",2825000,30000,1e+05,732564.814814815,48000,3735564.81481481
"gRQgL3UsPb6","GHA","L04",2267,2513,15,1104.44444444444,2446.06666666667,8345.51111111111
"gtdvY5R76A5","RWA","L04",18200,14500,21000,0,0,53700
"gUGmee9jeJA","TZA","L11",401000,0,12000,59785.7142857143,0,472785.714285714
"gULVGjZq1b6","TZA","L10",630000,10000,0,56071.4285714286,0,696071.428571429
"GuUwLgiijo2","UGA","L02",75000,655000,84600,0,0,814600
"GV2SBh2drm7","TZA","L19",1579000,0,54000,77851.8518518519,0,1710851.85185185
"gVnZfUnJ4V","UGA","L01",988000,85000,251000,354571.428571429,10000,1688571.42857143
"gvW2UAieds2","RWA","L01",153200,0,94000,180000,1800,429000
"GwMi53segV4","UGA","L02",185000,1020000,25000,1111588.41269841,3000,2344588.41269841
"GZButysJgS4","TZA","L18",952000,0,0,0,0,952000
"h2NJwtqVTd2","UGA","L06",1178000,1012000,131000,191888.888888889,0,2512888.88888889
"H4YdiXt5cz3","RWA","L06",192000,121500,84100,26100,36000,459700
"h5hVCQ5GHc2","UGA","L03",5e+05,919500,1204000,180000,0,2803500
"h7GgmuPVUH3","GHA","L06",-20,0,32,43.375,0,55.375
"h9yzMoqrEr7","GHA","L02",2837,0,15,29.9388888888889,0,2881.93888888889
"HbRbhAKMLv3","RWA","L06",486000,190000,55000,0,29000,760000
"hfEUg9n1AW4","TZA","L03",795000,0,30000,123722.222222222,0,948722.222222222
"hFv6mHJEwd5","UGA","L06",3231000,125000,20000,319592.592592593,35000,3730592.59259259
"HGnHsWKAkp3","TZA","L18",-15000,0,3e+05,1590000,0,1875000
"hiJdT15von9","UGA","L02",191600,410000,8000,0,400,610000
"HJ9K9FonFCA","GHA","L04",2076,2544,0,79.4444444444444,0,4699.44444444444
"HK4BRArXjD6","GHA","L02",9426,0,18,767.445833333333,0,10211.4458333333
"HLCLDYcEQF2","UGA","L03",587500,690000,180500,45000,5100,1508100
"hnZo2CxSp92","UGA","L04",1419000,39000,0,190000,5100,1653100
"HPHgA99tPJA","TZA","L20",3940000,0,1692000,746407.407407407,0,6378407.40740741
"HqDbz9qjXL","GHA","L05",2250,7200,144,810,1800,12204
"hrKn2nuXSs9","GHA","L06",-272,0,0,0,0,-272
"HWkzcSXQNG2","TZA","L18",-18000,0,48000,750000,0,780000
"hwqvpwm7Wz7","TZA","L03",1170000,0,90000,147833.333333333,0,1407833.33333333
"HWUQqfGSi37","UGA","L02",195750,1337700,27000,21058.9417989418,0,1581508.94179894
"hXCHXcG2W46","RWA","L04",89300,0,31620,240000,0,360920
"hy4613HYBr3","GHA","L01",1384,0,30,0,0,1414
"HYK4pqongQ7","GHA","L03",3392.5,0,0,857.2,0,4249.7
"hyWdWQ552X7","UGA","L01",297000,345500,12000,0,0,654500
"i2ZRSY65p48","TZA","L22",906000,0,15000,145450.549450549,0,1066450.54945055
"i5k7QWkLJw8","UGA","L06",1420000,1322000,12000,219833.333333333,0,2973833.33333333
"i6gRP4KTv4B","TZA","L11",45000,0,0,0,0,45000
"iGeYWScB9G8","RWA","L02",189200,0,67200,80500,11500,348400
"ignYVcEWdh6","GHA","L03",4870,0,150,485.9,0,5505.9
"iLvTEBAQTN6","UGA","L04",5122000,480000,252000,2700000,22500,8576500
"io6UuTdM1Q3","RWA","L04",87300,0,25000,140000,0,252300
"iR5ETCSgpV5","GHA","L06",-40,0,10.4,377.833333333333,0,348.233333333333
"iRjEJTUQTW4","TZA","L20",1455000,0,0,49000,0,1504000
"iRtxUHTRGi2","RWA","L04",140000,14400,0,0,0,154400
"iV8EbG17vX2","RWA","L04",63000,0,0,0,0,63000
"j18hwWBcwh5","TZA","L03",48000,20000,0,20916.6666666667,0,88916.6666666667
"J2FX8wXV8S9","RWA","L03",22000,12000,31400,0,6000,71400
"j3meptUjcsA","RWA","L07",39150,13200,800,0,0,53150
"J4NQk5mWMXA","UGA","L07",174500,0,0,0,0,174500
"j5dyUZUjo25","TZA","L10",178500,24000,6000,50000,0,258500
"JADsmRVzNUA","TZA","L11",165000,0,48000,129785.714285714,0,342785.714285714
"JbsDyyJEsp2","TZA","L20",816000,0,1125000,1454601.85185185,0,3395601.85185185
"jCvYgt72fP4","GHA","L06",2040,0,55,232.793631502188,0,2327.79363150219
"JdnGCqPhcWB","TZA","L03",926000,20000,8000,34861.1111111111,0,988861.111111111
"jDuNCdZs246","RWA","L04",138120,0,2100,-2000,0,138220
"jHTSofjuPJ7","RWA","L04",62500,10000,10000,0,4000,86500
"JiVbXhqxqD2","UGA","L06",755000,208000,12000,0,1000,976000
"jiVQaMk2ZR","TZA","L19",2604000,690000,0,0,0,3294000
"JM2DWViH8L8","RWA","L04",54150,9600,6000,0,2100,71850
"Jm8YLfzpoy5","UGA","L06",1641400,70000,6000,268814.814814815,7500,1993714.81481481
"joFqVCsb215","GHA","L06",390,0,0,28.9166666666667,0,418.916666666667
"jqEwCxargT5","GHA","L06",-200,3600,5,143.876964835521,0,3548.87696483552
"jQRmJu3n453","RWA","L06",443000,303000,180000,279000,136815.710955711,1341815.71095571
"jR5EnTkAqM3","GHA","L01",1535,0,9.6,380.375,0,1924.975
"JsGWt7k9dz2","GHA","L05",290,0,0,0,0,290
"JsmhauRP8E9","TZA","L18",420000,15000,45000,42222.2222222222,0,522222.222222222
"jspz3eC2TW3","UGA","L06",177500,4e+05,28000,184490.740740741,0,789990.740740741
"jsuqiyHhZp3","UGA","L07",551000,0,15000,30333.3333333333,4000,600333.333333333
"Jsv9PkxATh9","GHA","L06",-1781,0,160,-13271.9401839248,0,-14892.9401839248
"jT3NCQFGuW8","RWA","L04",90300,4200,75000,24000,0,193500
"jVAvmnH4bS6","GHA","L05",4049,4125,16,400,0,8590
"JYjBoTCdte4","RWA","L06",138400,239000,33200,0,13823.5664335664,424423.566433566
"K28KewnXpk2","UGA","L03",474100,999000,131300,0,0,1604400
"K5Z7A224KK7","GHA","L03",-364,0,50,207.2,0,-106.8
"k6Z9D2Z16q9","UGA","L03",722000,2650000,501500,45000,-1000,3917500
"K7cFANftUD3","GHA","L06",-96,0,0,0,0,-96
"k8Wj9vHnf53","UGA","L07",353000,175000,28800,0,1000,557800
"k8zEL6BmKHB","GHA","L01",210,0,30,0,0,240
"kAKQZBMLkGA","UGA","L06",1826000,90000,4800,279796.296296296,4800,2205396.2962963
"KaNq8vjzJV5","GHA","L04",3720.8,1600,8,59.5833333333333,4400,9788.38333333333
"kAym5mCCtcB","UGA","L07",275000,93700,0,17333.3333333333,0,386033.333333333
"kDWcVHqaaf2","TZA","L19",5630000,0,12000,527222.222222222,0,6169222.22222222
"KeAxwek3yC4","TZA","L19",7e+05,0,0,0,0,7e+05
"KeSq3y3A1h4","RWA","L01",111850,7800,40000,118500,4600,282750
"Kg7uwpdD4P5","RWA","L07",60510,79000,1800,2500,12500,156310
"kJPFgVkrzr8","UGA","L06",632000,0,0,0,6500,638500
"kjuUHkF5wTB","TZA","L03",70000,0,0,0,0,70000
"kKLu4qgLM62","RWA","L06",79850,74500,6000,20000,0,180350
"KkYJfxvuWf6","TZA","L03",114000,0,30000,504583.333333333,0,648583.333333333
"kLYaJ3DYGC7","GHA","L03",3508,0,35,856.2,0,4399.2
"KoKjL6iByr6","GHA","L01",250,0,5,0,0,255
