"survey_uuid","Country","Landscape..","Household.ID","Round","median_field_size","Total_Area_Farmed","intercrop_rate","pesticide","herbicide","fungicide","yield_quantile","avg_pct_crops_any_sold","pct_fields_irrigated","pct_fields_inorganic_fert","pct_buy_seed","number_fields","Total_Area_Owned"
"0bc6fd3d-ea5a-4be7-8dd9-ac79f4272fe8","UGA","L02","ea6XKQhZyd3","1",0.66,2.92,1,0,0,0,1.5,0.25,0,0,1,5,2.92
"0c0d7314-a37d-424f-9f3e-d3639b90495e","RWA","L01","MsBreaQuEcA","1",0.1085,0.217,0.142857142857143,0.5,0,0,1.66666666666667,0,0,1,0.857142857142857,2,0.217
"0c1fa043-ce9e-4ee7-8893-fe74fb480e0b","TZA","L22","MG8Mg2FAfw4","1",0.3,0.6,0.5,0.5,0,0,2.5,0.5,0,0,0,2,0.6
"0cd04d54-7cf4-4b0b-b6f3-49c626645a6d","TZA","L11","UGrmX3B1xb7","1",1.6,1.6,0,1,0,0,4,1,0,1,0,1,1.6
"0d385456-c1f9-4e0c-935a-87e71fb27b1b","UGA","L07","EQM92niTjw","1",0.61,1.22,0,0,0,0,3.5,0.5,0,0,0.5,3,1.22
"0dfd4229-970d-4516-88b2-026e5ef541d5","RWA","L04","6vh1fcZWV2A","1",1.788,1.788,0,0,0,0,2.5,1,0,0,1,1,1.788
"0e0ed17e-4836-41ec-8afe-476b3a1a256e","TZA","L18","yhsx6xFzAD","1",3.2,6.4,1,0,0,0,NA,1,0,0,0,2,4.6
"0e224f3c-c89c-4584-bb2b-d516e9f12ed8","UGA","L02","4GxE5frHnQ4","1",0.33,0.87,0,0,0,0,2.5,0,0,0,0,3,0.87
"0e9cd79c-e8d6-4c05-95d0-04e82a1bf4a6","TZA","L19","4FP6ukTTsQ8","1",0.8,1.6,0,0,0,0,1,0,0,0,0,2,NA
"0f16d5ee-1c3f-4071-b41e-793ff1642e5f","GHA","L02","LcDR4MVNrw","1",2.4105,7.5853,0,0,0.666666666666667,0,4,1,0,0.333333333333333,0,3,7.5853
"0f9a798d-11c9-4930-9a19-4986e18434f6","TZA","L22","WjvUqZyb157","1",1.55,7,0.5,0,0.5,0,1.5,0,0,0,0,4,2.7
"0fbeb263-b0c4-4617-af7b-bc74cee21bac","RWA","L02","iGeYWScB9G8","1",0.14145,0.2829,0,0.5,0,0,3.4,0.75,0,0.5,0.166666666666667,3,0.2829
"0fea2aff-a7f5-4e83-9ac8-23e6abc1431e","UGA","L04","4wawPvHomv","1",0.125,0.25,0.4,0.333333333333333,0,0,2.2,0,0,0,0.6,3,0.25
"100671ea-7d24-40bb-8ad7-4876416c0b5d","RWA","L02","mhGSC5qMs53","1",0.3417,1.0149,0.285714285714286,0,0.166666666666667,0,2.14285714285714,0.142857142857143,0,0.166666666666667,0.142857142857143,3,1.0149
"1027058c-72d9-4200-b714-fc4e332d6bf4","UGA","L02","fYfZbzp5Nv8","1",0.174,0.348,1,0,0,0,1.66666666666667,0,0,0.25,0.333333333333333,2,0.348
"1032f43e-9108-4de9-9bbe-3b6dfe2288c6","GHA","L03","UNJbgF8rDE4","1",NA,0,0,0,0.6,0,2.6,0.8,0,0,0.4,3,0
"103608ea-cf6b-4a4b-9fb1-7765cfef099b","RWA","L02","voQqwNL5SR4","1",0.15135,0.7757,0.8,0.375,0,0,NA,0.5,0,0.857142857142857,0,4,0.7757
"104854f4-da60-4acc-8431-be2a3fef7edb","GHA","L01","k8zEL6BmKHB","1",3.25,6.5,0,0,0,0,1,0,0,1,0,2,6.5
"10f9fba2-08f3-45d0-95cf-bf8d4b5477d7","GHA","L01","UDYnaavH8U3","1",2.3,2.3,0,0,0.333333333333333,0,1,0,0,0.666666666666667,NA,3,NA
"11068fa5-ac98-416c-a44a-140fd58d9c8a","UGA","L02","V5nBNdt5Wo9","1",0.405,0.81,0.6,0,0,0,1.75,0,0,0,0.2,2,0.81
"1162754f-68ae-446f-a94c-cfb92a1955cb","TZA","L03","utcTs5LcPQ7","1",3.75,17,0.333333333333333,0,1,0,3,1,0,0,0,4,13.8
"11d2d999-e838-49da-beb1-b40ef9ea2a71","RWA","L03","rP7DxqhNrW3","1",1.7996,1.7996,0,0,0,0,3,0,0,0,0,2,1.7996
"11d4057b-6dcc-461f-b516-09d640735146","RWA","L03","29hZgxCQpf4","1",0.4683,1.9122,0,0,0,0,2.6,1,0,0,0,4,1.9122
"128723b2-0f45-420e-960d-0a497b6127f7","GHA","L06","uA6dFVY3tr2","1",1.1,3.2,0,0.333333333333333,0,0,2.75,0.5,0.333333333333333,0,0,3,NA
"12bd0ff6-f19e-41ac-b23a-c3ae9356709d","RWA","L02","nkB43h7a3u6","1",0.4553,1.195,0,0,0.5,0,3.16666666666667,0.25,0,0.5,1,3,1.195
"12f6b3d6-7910-43b8-a733-b7e74ebd1d02","TZA","L22","qKTwmCQoWz5","1",2.9,2.9,0,0,0,0,NA,0,0,0,0,1,2.9
"134775ac-8356-4f83-8cde-1f42be37b881","TZA","L10","qP3BigSRj28","1",1.1,1.1,1,0,0,0,1,0,0,1,0,1,1.1
"1384b42f-083e-47a9-97cc-765647c6f357","TZA","L11","nEEs7UdXKf6","1",2,2,0,0,1,0,4,0,0,1,0,1,2
"13bcef92-9529-4534-9121-83d4835edc8d","RWA","L01","XXFzjtd2A8","1",0.11405,0.2281,0.75,0,0,0,NA,0.25,0,1,0,2,0.2281
"13e0bf6a-5e01-4788-830f-5ee9b7645479","UGA","L04","v29v4CgCb9A","1",0.142,0.771,0.230769230769231,0.5,0,0,2.61538461538462,0.5,0,0,0.153846153846154,6,0.771
"145ff2a4-8305-4586-b92e-f21cf3aa5146","RWA","L06","ACtMM9ksKX9","1",0.13155,0.2631,0.625,0,0,0,NA,0.75,0,0,0,4,0.2631
"1462211e-9bf9-4153-95dd-aaa07ec5bef7","UGA","L06","WKmRQnKoHA8","1",0.21,1.21,0,0,0,0,3,0.4,0,0,0,4,1.21
"14994f73-4539-4af7-94f0-1336a41c151a","GHA","L05","o1P6K2wcxu7","1",2.2149,4.9931,0.25,0,0.166666666666667,0,3.33333333333333,0.5,0,0,0,3,4.9931
"152b9029-07ba-4bb2-87ee-5616b72cbdb6","UGA","L06","dmUnjxva8t4","1",1.96,6.97,0,0.666666666666667,0,0,3.25,0.5,0,0,1,3,6.97
"154f5a32-80d6-4356-beba-572308377059","RWA","L06","c2cooWnTEh2","1",0.3436,0.3436,1,0,0,0,2,0,0,0,0,1,0.3436
"155d7bea-82ea-4755-b8d7-26d682a634fa","TZA","L11","51brKTHzvAB","1",0.5,1,1,0,0,0,3.5,1,0,1,0,2,1
"15a6a679-bd3e-4fc1-9b02-55b15bfa63f2","TZA","L22","Zzj5HfKc4d3","1",1.5,1.5,1,0,0,0,1,0,0,0,0,1,1.5
"15befc0d-06eb-404c-815d-8fc74f9b9b72","RWA","L01","m6KCw7ZxQ47","1",0.30155,0.6031,0.333333333333333,0,0,0,1.66666666666667,0.5,0,0,0.833333333333333,3,0.6031
"15c88154-7cc8-46bb-bb5c-f3cb13cff440","GHA","L01","jR5EnTkAqM3","1",2,2,0,0,1,0,3,0,0,0,0,1,2
"15db9f9b-6127-4a49-99ce-3af33a58bb44","TZA","L10","N1YUZvnVaG5","1",0.8,1.6,1,0,0,0,4,1,0,1,1,2,1.6
"1642398d-54e6-4e3d-a229-07c620e182e3","RWA","L06","dVN9QRTY6b4","1",0.0978,0.0978,0,0,0,0,3.66666666666667,0,0,0,0.25,2,0
"16ce5aaf-3c4b-4282-8836-4d78c2b43782","RWA","L07","5FTsNB6cw66","1",0.1952,0.3904,0.857142857142857,0,0,0,1.33333333333333,0.166666666666667,0,0,0.714285714285714,2,0.3904
"17518e9d-c8ab-4942-874f-60d52645dd55","RWA","L01","e2RyT8u9Vs5","2",0.17715,0.3543,0.4,0,0,0,1.8,0,0,0,1,2,0.2748
"17bc1c20-8ed8-451c-b4ff-d24840cf98e9","UGA","L07","E9xodbJqWb8","1",0.845,2.96,0,0,0,0,NA,0,0,0,0,4,2.96
"17cae74d-3ee3-4890-ae27-b759a1ac08cb","GHA","L01","5xb8kqgFVh9","1",2.8,5.6,0,0,1,0,1,1,0,1,1,2,5.6
"17dde3c3-1fd6-469e-96ad-6f6f9e0a890c","TZA","L20","ZeurtKQcW93","1",2.9,2.9,0,0,0,0,4,1,0,1,1,1,NA
"180256c8-3b71-4c59-a6b1-05864140136e","RWA","L02","zxz5fHgxQr4","1",0.2896,0.5792,0,1,0,0,3.75,1,0,1,0,2,0.5792
"182a1f2a-e976-4881-ab88-d822ce76eca2","RWA","L03","oSahYBywkW2","1",0.4599,0.4599,0,0,0,0,4,0,0,0,1,1,NA
"189630a0-dc7b-4031-9b7f-733a89e79c46","RWA","L06","H4YdiXt5cz3","1",0.2088,1.0892,0.2,0.2,0,0,2.5,0.2,0,0.2,0,5,1.0892
"18d82c78-ea21-4ce3-91b2-58c565377834","RWA","L01","TWGYiMEN9K3","1",0.059,0.2913,0.166666666666667,0,0,0,NA,0,0,0.666666666666667,0.5,3,0.2913
"193c4389-d648-4464-befb-ce5a8fc35667","TZA","L03","ZaEAz3d3Dr6","1",2.95,5.9,0,0,1,0,3,0,0,0,0.5,2,5.9
"1a126b75-e6ff-495b-81d6-5d7c8897540d","TZA","L19","PnQa2dKYkK6","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1a35a4f4-27c0-47f7-bfdc-de74a67ee6d4","RWA","L07","TYoYR9fk5v3","1",0.5144,2.0952,0.857142857142857,0,0,0,2.78571428571429,0.625,0,0,0,4,2.0952
"1a465a6a-5a51-4e34-9841-bd82539a0ed9","GHA","L06","W8ZrkDDq8B","1",NA,0,0,0,0,0,2,0.333333333333333,0,0,NA,3,0
"1a60e632-fa13-4ef1-84ef-b6715aa4e462","RWA","L06","dVN9QRTY6b4","2",0.0574,0.2746,0,0,0,0,4,0.75,0,0,0,3,0.2746
"1adb289b-24fc-4fde-bc95-6779e0979d8a","TZA","L11","2JxppdNdy1B","1",1.9,1.9,1,0,0,0,3,1,0,1,0,1,1.9
"1b145178-e98f-4217-898f-2c0eee3b9014","GHA","L05","QYtwXPgNBa3","1",2.25905,13.7834,0.25,0,0,0,1.83333333333333,0.666666666666667,0,0,0,4,15.3378
"1b45d20a-db4b-4bad-af7d-346bfd1498c4","UGA","L03","3f7GFEXbaK","1",0.35,3.03,0.333333333333333,0,0,0,1,0,0,0,0,5,2.84
"1b7877b4-cdc4-4fed-9f00-56d1be005e81","RWA","L02","7HuaMEgyTz4","1",0.34105,0.6821,0,0.5,0,0,2.33333333333333,0.75,0,0.25,0.25,2,0.6821
"1b895cb6-3725-4946-8c3f-cdcc031afc00","UGA","L03","r4YWWf5e5x3","1",1.135,2.27,0,0.2,0,0,1,0.333333333333333,0,0,0,3,2.27
"1c181436-91fc-4919-bee3-20589a6ed01c","RWA","L06","XZQvXo5qT34","2",0.1368,0.442,0.333333333333333,0,0,0,2.2,0,0,0,0.166666666666667,3,0.3052
"1c8f0b44-4094-41cf-aab6-db2539fef66a","TZA","L03","KyapRja3Pi6","1",0.8,4.4,0,1,0,0,3.66666666666667,1,0,0,0,5,2.2
"1ca3a17e-c5ac-447d-8465-5be9d56c1fca","TZA","L11","ERzfUDJvVr5","1",1.4,2.8,0,0.5,0,0,3,0.5,0,0.5,0,2,2.8
"1cb4b5bb-cbb7-4e5e-aea3-e123a30a90dc","RWA","L01","smz4XRTY7G6","1",0.2471,0.4942,NA,0,0,0,NA,NA,0,1,NA,3,0.3778
"1cc0ae0c-256f-4f81-9ffb-e1180f4acaf0","TZA","L11","2tw7sF6jPB4","1",1.5,7.3,0.333333333333333,0,0,0,2.33333333333333,1,0,1,0,3,7.3
"1d288e3c-f130-4d6e-9724-4f42fbfea3c8","RWA","L04","wr5wPxGTis","1",0.8647,1.7294,0.571428571428571,0,0,0,1,0.666666666666667,0,0,0.428571428571429,2,1.7294
"1dd52319-79b8-4fa4-a6ca-e8701b3d49d0","TZA","L10","LmNxHx7ukq2","1",0.8,0.8,1,0,0,0,2,0,0,0,0,1,0.8
"1e03b007-0134-4bdb-8998-9f71d049c79f","TZA","L03","NNkYVQpfzGB","1",3.8,7.6,1,1,0,0,1,0,0,0,0,2,4.5
"1e1772eb-b46e-4d93-a27d-2ed19ab9c4e9","TZA","L11","i6gRP4KTv4B","1",0.5,0.5,1,0,0,0,3,1,0,1,0,1,0.5
"1e1be10c-1469-4fa0-9f5e-da501567e3cf","GHA","L03","56esinYPtWB","1",NA,0,0,0,0.5,0,1,0,0,0.25,0.5,3,NA
"1e37f84e-54f2-49e0-94b9-e3f4dd7b0dc6","TZA","L18","onwJq3WmHg2","1",2,2,1,0,0,0,3,0,0,0,0,1,2
"1eab8449-331c-4873-ae73-f396a2ce467b","GHA","L06","CTRQQXCQTVB","1",NA,0,0.333333333333333,0,1,0,NA,0,0,0,0,3,NA
"1f0313dc-58f2-4cdc-a497-7bf53421bdda","TZA","L20","yE1Xsrhzmk8","1",1.9,4.1,0.333333333333333,0.333333333333333,0,0,3.5,0.333333333333333,0,0.333333333333333,0,3,4.1
"1f4c0e15-af5e-404a-aca8-b8c85d1e064a","RWA","L06","5DkfDPaXxW6","1",0.1428,0.9873,0,0,0,0,2.18181818181818,0.666666666666667,0,0,0.909090909090909,6,0.9873
"1f92fca3-4d80-4568-a234-6330298827d3","GHA","L03","ymaHgFS7sD7","1",1.5162,6.3311,0,0.375,0,0,1.6,0.5,0,0.714285714285714,0.5,4,6.3311
"1fad53d1-7c5b-4517-80fb-3a21ace93c72","GHA","L05","zwCpRhKnPo9","1",3.11015,13.2549,0.2,0.3,0.2,0,2.66666666666667,0.333333333333333,0,1,0,5,13.2549
"1fce6adc-248d-41e2-a8af-110fd465b05a","RWA","L01","Nq4M7PWJPS","2",0.0857,0.4749,0.470588235294118,0.3,0,0,2.23529411764706,0.333333333333333,0,0.3,0.235294117647059,5,0.4749
"1fe98fbe-ced7-404b-a820-828106a48be7","UGA","L03","BiwTi7hdY7","1",0.19,0.948,0,0.666666666666667,0,0,1,0,0,0,0.333333333333333,3,0.79
"2029d878-9498-421a-94ae-2980be2ede4b","TZA","L20","ciQdXdUfHV6","1",0.5,0.5,0,0,0,0,2,1,1,0,1,1,0.5
"20a14932-1aaa-4438-85ee-a3aa0e1c34f3","RWA","L01","m6KCw7ZxQ47","2",0.308,0.616,0,0,0,0,1.6,0.25,0,0,0.833333333333333,3,0.616
"20d4a0c4-0e42-43f2-8019-ba0cd8bf0a4f","TZA","L18","udWPUwFP172","1",0.2,0.2,0,0,0,0,3,1,NA,NA,1,1,NA
"20f2ed6c-3f38-4d54-93f1-53438a61369b","UGA","L04","ZVVKrqxAx48","1",0.05,0.1,0,0.5,0,0,3,0.5,0,0,0,2,0.1
"21251732-6515-4103-b632-108e16e437a7","TZA","L20","EnufChhcvN6","1",0.9,5.3,0,1,0,0,4,1,0,1,0,3,3.7
"212d9ec3-de76-4866-9311-965d1496d6f5","RWA","L06","3hzQ4hJNWpA","1",1.1157,1.1157,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA
"21ab8806-9942-4ab1-b1c7-57474e21025a","TZA","L11","fMF9APviXm9","1",4.2,4.2,1,0,1,0,4,1,0,1,1,1,4.2
"21f94429-f4e2-4307-9a9c-7dd6ed1a7b25","UGA","L06","Zsq7RscRsJA","1",0.975,4.4,0.4,0.25,0,0,2.4,0.666666666666667,0,0,0,4,4.4
"21ffacda-5afd-4ffb-adf8-b0b4eb82d44a","TZA","L20","TzXCuVJ5tP5","1",3.9,7.8,0.5,0,0,0,4,0.5,0,0,0,2,7.8
"2221176c-35f5-4c7b-96be-d5a7e85f7613","TZA","L20","iRjEJTUQTW4","1",1.6,5.4,0,0,0,0,3.5,0.333333333333333,0,0,0.666666666666667,3,1.4
"224fd2dc-e0ff-414f-83d0-b4d24fa5e457","UGA","L07","udreQXLRb29","1",0.19,0.38,0.75,0,0,0,1.75,0,0,0,1,2,0.38
"2269b041-20f9-4e65-a3a5-08eaff46d796","UGA","L01","TTKHU3eLS44","1",0.5425,2.692,0.8,0,0,0,2,0.25,0,0,0.4,4,1.445
"22977d0d-c1d5-4e07-b55a-dd812cbc706d","UGA","L03","nG6geyTvwq7","1",0.24,2.65,0,0,0.444444444444444,0,1.25,1,0.2,0,0,5,2.65
"22d4d09e-2d15-4416-abaf-b8d945ad1554","GHA","L06","BwcbgH6pxh9","1",6.7,6.7,0,0,0.5,0,NA,0,0,0,0,1,6.7
"234922fd-e727-4a51-83f0-1241867ee75c","GHA","L05","XEA6aofdZo5","1",6.1763,12.3526,0,0.166666666666667,0,0,3,0.833333333333333,0,0.166666666666667,0,3,12.3526
"23ea4735-f10e-464f-9774-ee951ff362d2","GHA","L03","2w6GUTeKDd","1",1.26025,4.7498,0,0.375,0.25,0,3.25,0.875,0,0.5,0,5,4.7498
"2423bcf8-bb4d-4650-bd69-84426585ec9c","UGA","L03","L3z2GfyVdH5","1",0.19,3.47,0,0.5625,0,0,2.55555555555556,1,0,0.1875,0.2,8,3.47
"24544d9c-a69f-4855-86c4-76344184128e","UGA","L03","VQjx1ubsk84","1",0.16,0.49,0,0,0.666666666666667,0,1.5,0,0,0,0.5,3,0.49
"247236a8-f6b1-4421-a139-e5b815234be9","RWA","L06","ACtMM9ksKX9","2",0.06235,0.1247,0.75,0.4,0,0,3.57142857142857,0.166666666666667,0,0.4,0,3,0.1247
"2487ba6e-d20e-4bac-a7e9-5356345b4bec","TZA","L10","6gioKTgu1a9","1",0.735,3.98,0.8,0,0,0,2,0.5,0,0,0,4,3.98
"24dda978-46f7-43ac-95cf-7f45e91baf11","GHA","L03","HYK4pqongQ7","1",2.5271,9.6693,0.3125,0,0.4375,0,2,0.6,0,0.125,0,8,9.6693
"2552e510-ae08-42d9-b1aa-28e4f07a4da4","RWA","L04","yCPYya5PZfA","1",0.2685,0.537,0.4,0,0,0,1.6,0,0,0,0.8,2,0.537
"2558c74e-378c-41b8-8bf2-0a9478eed5ce","RWA","L01","cZWWUyRwuTA","2",0.0891,1.0995,0.142857142857143,0,0,0,2.85714285714286,0.5,0,0.818181818181818,0.214285714285714,7,1.0995
"25af2126-9991-499d-98e7-96d2c05ef863","GHA","L05","wGsPM221dM8","1",2.5494,5.0988,0.4,0,0,0,1,0.333333333333333,0,0,0,3,5.0988
"262e959b-bf4e-4624-b07f-333ef6ac171c","TZA","L03","KYf3aU1imH5","1",2.8,2.8,1,1,0,0,3,0,0,0,0,1,2.8
"26a9f3dc-4a1e-4c4d-b382-70e6c7fa8b0f","RWA","L03","EXzXQD4FSm3","1",0.4402,0.8804,0.857142857142857,0,0,0,1.14285714285714,0.5,0,0,0.285714285714286,2,0.8804
"26cbef3b-5520-45cb-9adf-99654d91bc0b","TZA","L10","j5dyUZUjo25","1",2.75,5.5,1,0,1,0,1.5,1,0,1,0.5,2,5.5
"270180ee-dd9e-41f4-ae55-db0907678378","TZA","L10","gULVGjZq1b6","1",2.65,5.3,0,0,0,0,2,1,0,1,0,2,5.3
"27f7522d-7cde-4df5-94ca-eaf74142d0a2","UGA","L04","GEpVmB1chZ","1",0.06,0.12,0,0,0,0,1.6,0,0,0,0.2,3,0.12
"27fd2220-a8be-4f86-8138-c6f4c09ca36d","GHA","L06","7KKdwdFxzG7","1",3.1,3.1,0,0,0.3,0,3.33333333333333,1,0,0.4,0.8,5,3.1
"28526f1e-69e4-42da-81cc-cbd9001b3131","UGA","L04","UYwovny68h","1",0.405,1.53,0,0,0,0,2.33333333333333,0,0,0.125,0,5,1.36
"287e713c-6532-4209-962a-6edcfac9e59d","RWA","L01","GBGa6M3rbd3","2",0.1147,0.2294,0.25,0,0,0,2.625,0.25,0,0.833333333333333,0.5,3,0.2294
"28a0db98-22ef-4f7d-afb7-e8850f27dacc","UGA","L06","ZU7tm63WQNB","1",1.22,2.93,0,0.5,0,0,2.8,0.4,0,0,0.2,3,1.22
"28cf750d-2487-43fa-a633-aeca5b9c8e7e","RWA","L07","C3b2zHKsNU3","1",0.1845,0.7582,0.8,0,0,0,1.5,0,0,0,0.7,3,0.7582
"28ea22ee-dec0-414b-9f8c-d54acb0f3ba4","UGA","L04","4MTsyUHiaX4","1",0.16,0.16,0.2,0,0,0,2,0,0,0,0.4,2,0.16
