"Household.ID","Round","survey_uuid","Country","Landscape..","income_own","income_wage","income_crops","income_perm_crop","income_lvstk_byprod","income_byprod","income_lvstk","cost_seeds","cost_org_fert","cost_syn_fert","cost_pesticide","Total_Income","AgIncome","NonAgIncome","AgInvestments"
"3f7GFEXbaK","1","1b45d20a-db4b-4bad-af7d-346bfd1498c4","UGA","L03",0,1200000,0,6000,0,0,0,0,0,0,0,1206000,6000,1200000,0
"3hzQ4hJNWpA","1","212d9ec3-de76-4866-9311-965d1496d6f5","RWA","L06",2085714.4,2607143,0,0,0,0,0,NA,NA,NA,NA,4692857.4,0,4692857.4,0
"3hzQ4hJNWpA","2","76d8c045-8f07-4358-be52-26a9b383681d","RWA","L06",0,0,350000,80000,0,0,920000,5000,0,0,0,1350000,1350000,0,5000
"3oYDbENAuo","1","beaf12ba-8d39-4848-973e-510b1af019c7","GHA","L03",0,0,0,0,0,0,30,100,0,0,168,30,30,0,268
"3WbmqA7gbk2","1","f2239668-0c86-4846-9c50-9dd252960f19","UGA","L01",0,4500000,0,0,0,0,0,35000,0,0,0,4500000,0,4500000,35000
"41YTq8opiW8","1","ed6607e3-93dc-47b5-acb3-d07805a92d92","TZA","L03",0,0,508000,0,0,0,28000,1e+05,0,0,4000,536000,536000,0,104000
"43ozar7mLV6","1","76d3c685-06af-43a7-91c2-0e68e1ee55eb","UGA","L03",0,0,28000,480000,1200,0,0,0,0,0,24000,509200,509200,0,24000
"43RqATksCs8","1","cb440ab5-685f-4875-bd9b-7bc1316658f9","UGA","L06",0,0,360000,150000,0,0,210000,62500,0,0,3e+05,720000,720000,0,362500
"4aupp5Gqjv6","1","b867ba83-6893-4cba-89d2-cf6a1671c0bc","RWA","L02",469285.74,255500,422500,15000,0,0,0,40950,55000,0,6000,1162285.74,437500,724785.74,101950
"4DD1mGbS2b6","1","b35b9e16-3d53-4bb6-868a-87854d61f6cc","GHA","L05",0,0,4560,4320,0,0,0,0,0,0,0,8880,8880,0,0
"4FP6ukTTsQ8","1","0e9cd79c-e8d6-4c05-95d0-04e82a1bf4a6","TZA","L19",0,4380000,0,0,0,0,0,0,0,0,0,4380000,0,4380000,0
"4GxE5frHnQ4","1","0e224f3c-c89c-4584-bb2b-d516e9f12ed8","UGA","L02",0,0,0,150000,0,0,0,0,0,0,0,150000,150000,0,0
"4LtjetWmyU6","1","53bdf18e-f489-4c6e-9fa0-fec217d8643b","TZA","L19",0,0,0,0,8000,0,60000,0,0,0,0,68000,68000,0,0
"4Ltk7eBsFy2","1","b0049cf8-b6c2-4fea-8f4d-fda276396770","UGA","L06",0,0,297500,0,0,0,40000,15000,0,0,5000,337500,337500,0,20000
"4mjZfGs3Aw","1","d4fb9af4-ce82-4a48-bf6c-a442df14e548","UGA","L03",1200000,2160000,3e+05,16000,0,0,0,0,0,0,0,3676000,316000,3360000,0
"4MTsyUHiaX4","1","28ea22ee-dec0-414b-9f8c-d54acb0f3ba4","UGA","L04",0,0,0,0,0,0,0,21800,0,0,0,0,0,0,21800
"4NfJeixyr6A","1","673cb895-876e-4e5b-bbb5-86f32fc9a518","TZA","L22",782142.9,0,0,0,0,0,0,0,0,0,0,782142.9,0,782142.9,0
"4TD5PFFKHJ7","1","51ef90d4-ac7f-43ea-82f8-f1c8974335d6","GHA","L06",NA,NA,6950,12320,0,0,1075,165,0,0,1525,20345,20345,0,1690
"4TD5PFFKHJ7","1","2946f021-9d43-4427-9cb5-bba246ffaa59","GHA","L06",NA,NA,6950,12320,0,0,1075,165,0,0,1525,20345,20345,0,1690
"4uYtGb6q1h5","1","d929eaf6-c781-45cc-8649-a4f9ca951f76","RWA","L01",0,255500,17000,105000,0,0,0,20900,0,0,0,377500,122000,255500,20900
"4uYtGb6q1h5","2","7bdd33b6-12fb-4475-b7dc-4f34ac2274be","RWA","L01",0,310250,27200,81000,0,0,135000,15600,0,0,0,553450,243200,310250,15600
"4wawPvHomv","1","0fea2aff-a7f5-4e83-9ac8-23e6abc1431e","UGA","L04",0,3285000,0,0,1500,0,0,147500,0,0,19000,3286500,1500,3285000,166500
"4xFbY5oyU82","1","fcefa917-5478-472c-9333-1a647037d92f","GHA","L06",5214.286,0,0,0,0,0,0,0,0,0,140,5214.286,0,5214.286,140
"4YxLyEvHcr2","1","b7b65987-bf4e-4fd7-84dd-3dc58b5c2a96","UGA","L01",260714.3,10629714.4,0,0,0,0,0,0,0,0,0,10890428.7,0,10890428.7,0
"51brKTHzvAB","1","155d7bea-82ea-4755-b8d7-26d682a634fa","TZA","L11",0,0,80000,0,12000,0,0,0,0,27000,0,92000,92000,0,27000
"52MH5CafZg9","1","927a12c0-ca8b-4e77-9f8f-13e02615b214","UGA","L04",0,0,0,0,0,0,0,19000,0,0,96000,0,0,0,115000
"56esinYPtWB","1","1e1be10c-1469-4fa0-9f5e-da501567e3cf","GHA","L03",600,0,0,0,0,0,150,445,200,0,510,750,150,600,1155
"5a2WfRTPWS2","1","41dc259c-d120-4419-88d5-b6796916883c","UGA","L06",0,0,520000,65000,0,0,0,50000,0,0,7000,585000,585000,0,57000
"5AjH6QaGU24","1","df0d3bc9-637b-4529-9ecf-8bf89e118474","RWA","L04",0,480857.16,23000,0,0,0,0,18400,0,0,6000,503857.16,23000,480857.16,24400
"5BM4RJvhSqA","1","2bd59923-98e2-4258-be0a-84bbf70f08f7","UGA","L03",0,0,90000,18000,0,0,0,28000,0,0,0,108000,108000,0,28000
"5DkfDPaXxW6","1","1f4c0e15-af5e-404a-aca8-b8c85d1e064a","RWA","L06",0,255500,21200,24000,0,0,0,27200,0,0,0,300700,45200,255500,27200
"5DkfDPaXxW6","2","8ad78a7e-edfb-4f1b-b9f6-921dad9fe225","RWA","L06",0,10428.572,25500,22000,0,22000,18500,5900,0,0,0,98428.572,88000,10428.572,5900
"5FTsNB6cw66","1","16ce5aaf-3c4b-4282-8836-4d78c2b43782","RWA","L07",0,0,3000,8300,0,0,0,7450,0,0,0,11300,11300,0,7450
"5G241XCT6VA","1","f7c35fb0-ab8b-4c55-83f6-3471a4e54ea0","GHA","L03",0,0,23745,0,0,0,150,1210,0,0,360,23895,23895,0,1570
"5G241XCT6VA","1","c0b6ad5d-7b15-44b2-9313-4f2a8e8e8039","GHA","L03",0,0,23745,0,0,0,150,1210,0,0,360,23895,23895,0,1570
"5JcGGbr2Y88","1","38cc35d8-afee-4529-8e50-bc4e5765143c","GHA","L03",0,0,3190,0,0,0,75,180,0,0,187.5,3265,3265,0,367.5
"5oGmpb8QJLA","1","953b31d5-f866-4b64-97e7-e728458aa03b","TZA","L22",0,0,4e+05,0,0,0,0,0,0,0,0,4e+05,4e+05,0,0
"5R7zjWiS4o","1","47704465-f042-4ba2-a9dd-63c6e8930f3a","TZA","L03",0,0,60000,0,0,0,1e+05,0,0,0,8000,160000,160000,0,8000
"5rf37agRoT5","1","4c57a95c-ac41-43db-a492-5e33e1dec697","GHA","L04",0,0,4560,810,0,0,0,60,20,0,66.5,5370,5370,0,146.5
"5s4t5icCN2","1","07d753f9-35fb-4c46-8469-f4d7acc4ebc7","RWA","L03",0,0,33000,0,0,0,2e+05,12000,48000,0,0,233000,233000,0,60000
"5xb8kqgFVh9","1","17cae74d-3ee3-4890-ae27-b759a1ac08cb","GHA","L01",0,0,210,0,0,0,150,35.2,0,110,60,360,360,0,205.2
"5xjULrvkzz3","1","4c174d1f-4861-4d7c-9398-55b428803ede","TZA","L18",0,0,0,0,0,0,0,42000,0,0,450000,0,0,0,492000
"5xza3zKCC65","1","612cd7a5-fa22-423b-8591-3812faf26667","UGA","L02",260714.3,0,72000,632500,308700,0,0,72800,0,0,18500,1273914.3,1013200,260714.3,91300
"65WUiskq7g6","1","a1c87b25-2f8d-4efe-b071-873c26878799","TZA","L20",0,0,1200000,0,0,0,1200000,0,0,0,45000,2400000,2400000,0,45000
"6auvr3dPvX4","1","4ee41348-df5e-44a8-a549-232bd16ae814","TZA","L19",0,12045000,0,15000,4800,0,32000,0,0,0,0,12096800,51800,12045000,0
"6gioKTgu1a9","1","2487ba6e-d20e-4bac-a7e9-5356345b4bec","TZA","L10",0,0,30000,0,0,0,0,0,0,0,0,30000,30000,0,0
"6knFhJg33R9","1","31e67c67-3f5d-4c5e-a2f3-3670b196afb5","UGA","L04",0,0,260000,0,0,0,70000,292000,0,0,0,330000,330000,0,292000
"6L8XQ2ivNNB","1","30005489-21a6-40dc-8c86-b72da17c771a","UGA","L07",0,0,0,0,10400,0,0,43500,0,0,0,10400,10400,0,43500
"6NYkNXf4fW6","1","7c943e00-0d8e-4261-8bc7-0497e6d121b2","TZA","L18",0,0,0,20000,10200,0,14000,0,0,0,45000,44200,44200,0,45000
"6o1LRkbmmy9","1","09eb1ea8-1371-4ca4-9720-4b92992b696c","GHA","L05",0,0,4405,4905,0,0,1090,0,0,0,173,10400,10400,0,173
"6rFDY18oMR9","1","e59853d2-19e9-4da6-88bb-7a40ece80b10","GHA","L05",0,0,8280,8280,0,0,0,0,0,0,0,16560,16560,0,0
"6s9v6agXWi3","1","917619ec-1c93-4c26-b198-19ef4c5173f1","TZA","L18",10428572,0,1560000,0,0,0,0,60000,0,0,24000,11988572,1560000,10428572,84000
"6vh1fcZWV2A","1","0dfd4229-970d-4516-88b2-026e5ef541d5","RWA","L04",0,0,52500,0,0,0,0,11200,0,0,0,52500,52500,0,11200
"6vK31iR7nAA","1","46658b50-2cec-47b4-bc17-56c21547fd99","TZA","L22",0,0,4e+05,0,0,0,0,0,0,0,0,4e+05,4e+05,0,0
"6VtbLtrb1D3","1","eb32e30a-7f41-44ef-933b-8de08953f0b3","RWA","L04",0,240000,0,9000,15000,0,0,21200,0,0,3000,264000,24000,240000,24200
"6vZXvHtQdG2","1","fb81ea23-20f9-4764-a4bf-7705a93e9722","UGA","L06",0,2085714.4,350000,0,0,0,1e+05,0,0,0,0,2535714.4,450000,2085714.4,0
"6zdLptApzZ2","1","9cd7a460-53ed-4dd8-891f-a9bb76f533ab","RWA","L02",0,373500,90000,20000,0,0,30000,140000,0,0,6000,513500,140000,373500,146000
"73M3dsnzvJ7","1","69a19331-243a-4224-85c1-a53f76de4785","TZA","L22",0,0,640000,0,0,0,17000,14000,0,0,0,657000,657000,0,14000
"7GEs4txMBL9","1","f61e7540-a719-40b6-83a7-303ba0084505","TZA","L18",1564285.8,1095000,25000,30000,0,0,0,13500,0,0,0,2714285.8,55000,2659285.8,13500
"7HuaMEgyTz4","1","1b7877b4-cdc4-4fed-9f00-56d1be005e81","RWA","L02",0,0,182000,0,0,0,0,35000,0,0,18000,182000,182000,0,53000
"7KKdwdFxzG7","1","27fd2220-a8be-4f86-8138-c6f4c09ca36d","GHA","L06",0,0,5545,11280,144,1800,1220,725,0,0,300,19989,19989,0,1025
"7NvFkzHDPpA","1","b4530074-eaba-45dd-a75c-f17bb62d67ea","TZA","L10",0,0,0,20000,4000,0,12000,0,0,0,0,36000,36000,0,0
"7yhK3asbcg8","1","b939f0cf-e94b-4202-8296-55272c1d9f18","UGA","L07",0,0,0,0,0,0,12000,11200,0,0,0,12000,12000,0,11200
"84Tt3igkks","1","87f5464f-f7a5-4c04-93fd-ebc6eafd715b","TZA","L22",0,0,2e+05,0,0,0,0,0,0,0,0,2e+05,2e+05,0,0
"87qeDKg8sj5","1","4820186b-a5d4-4d57-825e-ae8f07ad183c","GHA","L01",0,0,0,0,0,0,45,0,0,0,100,45,45,0,100
"8bfdq81qVM8","1","d28f84cc-0445-431b-b1d6-385239f2e7df","TZA","L11",0,3650000,36000,0,0,0,140000,0,0,66000,6000,3826000,176000,3650000,72000
"8DoKMFq9rv7","1","9311c5b2-492b-4a3b-97ee-69e060f6af7f","RWA","L01",0,0,3200,32000,0,0,10000,12350,0,0,1200,45200,45200,0,13550
"8DoKMFq9rv7","2","b25793f8-ff4a-4e35-a0c4-bc5daef0b181","RWA","L01",0,0,0,48000,0,0,8000,1200,0,0,0,56000,56000,0,1200
"8jLMpgU7qmA","1","8fd02c4b-b6a9-4f6d-b26b-b07a08d7e6ad","UGA","L02",0,0,0,25000,0,0,120000,12200,0,0,0,145000,145000,0,12200
"8LgQmjxaed7","1","e3e25c2f-bda3-44e0-9244-37c016ddf34f","RWA","L07",0,104285.72,0,0,0,0,0,0,0,0,0,104285.72,0,104285.72,0
"8pbKc5jDHS6","1","5b27cfb0-05b7-4cbd-8fa8-508b595548be","TZA","L22",0,2190000,150000,0,0,0,0,0,0,0,0,2340000,150000,2190000,0
"8QSNRiJbU45","1","3da6c27a-4a3b-49ea-825f-5309ffa1d706","RWA","L07",0,438000,23000,0,0,0,0,6000,3000,0,0,461000,23000,438000,9000
"8r9jJ38EDF2","1","6cd5f0d8-ba31-47ec-868b-0d46d31ebc52","UGA","L01",0,0,0,0,0,0,0,37500,0,0,0,0,0,0,37500
"8RDtceCXmi7","1","becf7ef7-cdd2-4228-9b0c-df7e818f6e3f","TZA","L03",0,0,340000,0,0,0,0,0,0,0,15000,340000,340000,0,15000
"8rMnuSjsKfA","1","f5468bda-dd6b-4859-a06a-02784c12e1dd","RWA","L07",73000.004,438000,16000,0,0,0,0,13500,0,0,0,527000.004,16000,511000.004,13500
"8WWivGcFUz5","1","e700004c-384d-419d-8072-917befbb6bd8","UGA","L03",104285.72,0,580000,360000,517500,0,0,120000,0,0,30000,1561785.72,1457500,104285.72,150000
"9921bP6EeY4","1","825fe561-e1c4-4975-b7e8-18e4fe5869df","TZA","L18",0,0,350000,20000,43200,0,0,25000,0,0,35000,413200,413200,0,60000
"9D4NrgAzDH4","1","790f9103-525f-45f5-8242-40ddb9e4cfb4","UGA","L07",0,0,0,452000,0,0,428000,10000,0,0,0,880000,880000,0,10000
"9ES5SSTauT6","1","e970520b-b4a7-427a-acb0-3b9a1836879e","TZA","L10",0,0,12000,0,0,0,0,0,0,0,0,12000,12000,0,0
"9iKLxLjVu77","1","34fe119b-e685-4c69-9dfb-5a7e32c28368","UGA","L04",6e+05,6257143.2,0,0,0,0,0,0,0,0,8000,6857143.2,0,6857143.2,8000
"9M4qT2DMJj","1","dbd9b943-e479-47d0-a29c-7d1be4c76c4c","GHA","L04",0,0,5620,5620,0,0,730,0,0,0,200,11970,11970,0,200
"9P8HkL34az2","1","79d96c88-2205-44a0-a8dd-4d2004ee6581","UGA","L02",0,840000,425000,0,0,0,1851700,7400,0,0,0,3116700,2276700,840000,7400
"9s7aPD8ZRh7","1","ba0f230c-5ea2-4840-969e-a5a1ae41c521","RWA","L07",0,0,233000,140000,0,0,364000,0,0,0,0,737000,737000,0,0
"9upFZJLCfM2","1","302e1e76-f060-4c1a-8657-2bf7330939a6","RWA","L01",0,312857.16,0,0,0,0,2e+05,13800,0,0,500,512857.16,2e+05,312857.16,14300
"9upFZJLCfM2","2","86758e4d-4d9a-4f2d-87e1-6a50a0c764fa","RWA","L01",0,730000,2800,0,1120,0,120000,11300,0,1050,0,853920,123920,730000,12350
"9uri5wypzL4","1","2f21a744-f14e-45b7-94ae-a7c780a5539b","TZA","L22",0,2085714.4,450000,0,0,0,0,0,0,0,6000,2535714.4,450000,2085714.4,6000
"9WWgnSHHAA6","1","4aa1c6eb-1bd5-4acc-adb7-1e68b216a0ab","TZA","L03",0,96000,180000,0,12800,0,-3000,40000,0,0,3000,285800,189800,96000,43000
"9yvw1XWDNpA","1","fa619efc-87be-4b76-82f7-33dda5c41fec","RWA","L07",0,0,6000,2500,0,0,0,600,0,0,0,8500,8500,0,600
"A4HX8ZvF3a8","1","02ffb259-bc8e-4221-99d2-c250997e0922","TZA","L22",156428.58,0,120000,0,0,0,0,0,0,0,0,276428.58,120000,156428.58,0
"a77UhCZgDh2","1","e00cd33e-ea1b-47ab-b27f-0d6b012f2679","TZA","L19",0,1152000,1150000,14000,8000,0,160000,0,0,0,75000,2484000,1332000,1152000,75000
"aANwrQbMsa3","1","b1133433-ace3-42b6-abb8-40c1d961b250","UGA","L01",0,0,439000,0,0,0,15000,16800,0,0,0,454000,454000,0,16800
"aC1Yp9Vbbb9","1","74da8b61-12d8-4caf-955f-83e0a33dce2f","GHA","L02",0,0,3620,0,0,0,0,0,0,0,363,3620,3620,0,363
"AcecNqxEnz4","1","3b7941ac-e81d-445b-9a9d-8b4961aefecf","TZA","L18",0,1642500,0,0,0,0,18000,NA,NA,NA,NA,1660500,18000,1642500,0
"ACtMM9ksKX9","1","145ff2a4-8305-4586-b92e-f21cf3aa5146","RWA","L06",0,0,17300,16500,0,0,0,0,0,0,0,33800,33800,0,0
"ACtMM9ksKX9","2","247236a8-f6b1-4421-a139-e5b815234be9","RWA","L06",0,255500,12000,13450,0,12000,0,0,0,6160,1200,292950,37450,255500,7360
"aDnodjimek6","1","43ebe68c-cf9b-4467-86f1-915a32b6bcf5","RWA","L01",0,120000,0,5000,0,0,15000,750,0,1200,0,140000,20000,120000,1950
"aDnodjimek6","2","330f8dd7-ad04-48fa-9e23-342729a51877","RWA","L01",0,0,0,0,0,0,150000,2550,0,0,0,150000,150000,0,2550
"aEPhhDYMsKA","1","8f65cafa-8331-49f3-9d8f-1b1d7004db04","GHA","L01",0,0,300,0,0,0,0,0,0,0,108,300,300,0,108
"aFuKnt435e8","1","5fa8a147-4443-4040-bf2d-447da63e88dc","TZA","L19",0,7300000,1050000,0,0,0,1e+05,0,0,0,0,8450000,1150000,7300000,0
"Ag8CWapFXT9","1","eb45e3e5-8c94-46d0-8c7a-713f1cc3e5fa","RWA","L01",240000,0,37000,43000,60000,0,0,27100,0,0,0,380000,140000,240000,27100
"Ag8CWapFXT9","2","7dd95c6b-5fba-4dc6-ad49-b4f267b7ac4d","RWA","L01",0,120000,144000,147200,0,0,0,4700,0,0,0,411200,291200,120000,4700
"ah2mXHfB7w4","1","5176a5ad-2e9f-4c60-9a22-3fd2be4686b0","RWA","L07",0,166857.152,4500,1760,4000,0,0,4800,0,0,0,177117.152,10260,166857.152,4800
"AKMWbrcHqo7","1","3bd7914d-a560-465b-ac1d-20259d0f4809","GHA","L04",0,0,0,0,0,0,0,0,0,0,26,0,0,0,26
"akR9WC1ESX","1","c5610aa7-58da-4a1b-9f8a-68d5f71db8e7","UGA","L04",0,0,32000,0,0,0,0,0,0,0,36000,32000,32000,0,36000
"am7bPMj2uA","1","52746f02-c6c0-4ee0-a5eb-000fe56732e3","RWA","L02",0,0,888400,0,0,0,0,40000,0,0,9000,888400,888400,0,49000
"An4VyekaKi6","1","0726bf27-41fb-4ad8-96e5-d85f89e8144f","TZA","L22",0,0,40000,0,0,0,8000,2400,0,0,4000,48000,48000,0,6400
"aNYTfhJUuk9","1","61c017f9-4117-4179-8f78-954d8e05c4a3","TZA","L19",0,6540000,3100000,0,0,0,0,0,0,0,54000,9640000,3100000,6540000,54000
"AoyYjSvsgJA","1","9aa8e595-3a9a-4996-ae15-929790565eb8","RWA","L02",60000,208571.44,0,4000,0,0,0,0,0,0,0,272571.44,4000,268571.44,0
"ArjKWQXjiQ2","1","d0adb685-9e9f-4338-b161-f3fadb77b43f","GHA","L02",0,0,560,0,0,0,25,0,0,0,28,585,585,0,28
"arUegScQDF9","1","dfb9aa4b-b7a7-444b-ad2d-8922616c617e","GHA","L02",208.57144,0,4300,0,0,0,1150,0,0,0,120,5658.57144,5450,208.57144,120
"AVbrhtAbDP5","1","5db8286d-7e86-468a-99da-cadfe43a0834","RWA","L04",0,625714.32,164800,194500,0,0,220000,13150,5000,0,1200,1205014.32,579300,625714.32,19350
"AvkkCXoYrg8","1","f92c8e99-9146-4e51-a857-d8c450b2759b","RWA","L06",0,912500,15000,30000,0,22500,0,0,0,1400,1000,980000,67500,912500,2400
"AvkkCXoYrg8","2","74c454bd-36f4-4226-a6c4-8b32d9370687","RWA","L06",0,0,61000,0,0,5000,25000,5000,0,1000,0,91000,91000,0,6000
"ayZb55CgmK4","1","a3d3e7b4-eaea-4828-8b96-fa934b755498","TZA","L18",0,0,0,0,0,0,7e+05,NA,NA,NA,NA,7e+05,7e+05,0,0
"Az5BDLdFCQB","1","d574bdc8-548e-480d-a1e5-5a13c0b9fadc","RWA","L02",0,0,434000,0,0,0,0,90000,30000,0,15000,434000,434000,0,135000
"AZbZLMWXXU5","1","96b757ff-c953-4676-b324-4a0befa7a6ab","GHA","L04",0,12000,100,200,210,0,2550,1750,0,0,165,15060,3060,12000,1915
"B77fdVMrcbB","1","43a5fcf2-050b-4d4c-bdb5-55f76e9dd542","UGA","L02",1200000,0,140000,230000,0,0,1500000,0,0,0,0,3070000,1870000,1200000,0
"B7g3YrTCTUB","1","6310d07b-0845-4933-913a-6edd70c6e5be","TZA","L19",0,1095000,0,0,0,0,0,0,0,0,0,1095000,0,1095000,0
"B8yvkFk2DJ5","1","f8745190-ec11-44f4-92d3-411cec3404b9","RWA","L03",0,255500,7000,4500,0,0,12000,4500,0,0,0,279000,23500,255500,4500
"bbQXrXaEo96","1","f145dbf0-dd0b-42bd-b9a4-ce2244fa6b4b","TZA","L10",9646429.1,0,0,0,0,0,0,0,0,0,0,9646429.1,0,9646429.1,0
"BcLx8GwEyf5","1","5b02fd3e-be5a-4bca-857a-7f69cf4c7b39","TZA","L19",0,0,450000,20000,0,0,40000,0,0,35000,0,510000,510000,0,35000
"bdXeZG9z586","1","7a9290d0-92b3-4e03-a347-e1d0ad837c0d","RWA","L04",0,336000,0,309000,100200,0,480000,20880,0,0,100,1225200,889200,336000,20980
"BiwTi7hdY7","1","1fe98fbe-ced7-404b-a820-828106a48be7","UGA","L03",240000,0,0,90000,0,0,0,3600,0,0,12000,330000,90000,240000,15600
"BNLAgvK3aCA","1","fae2c5c0-6dfa-4d2d-9579-bf35013425ef","GHA","L02",0,0,3725,0,0,0,72,1230,0,360,216,3797,3797,0,1806
"bnNcJ3bknL7","1","de3d3dcb-d1d0-4177-8a7c-3c83b6e15073","GHA","L01",1042.8572,0,1270,0,0,0,0,0,0,100,56,2312.8572,1270,1042.8572,156
"BP6YrbuDcL","1","5c621250-1780-4aa0-8218-96361beec805","TZA","L22",0,0,720000,0,0,0,0,10000,0,0,28000,720000,720000,0,38000
