"","table","columns","nrow"
"132","Crops_HH","Egg_Plant",810
"133","Crops_HH","Okra",810
"134","Crops_HH","Timber",810
"135","Crops_Landscape","Country",25
"136","Crops_Landscape","Landscape",25
"137","Crops_Landscape","Bananas",25
"138","Crops_Landscape","Maize",25
"139","Crops_Landscape","Paddy",25
"140","Crops_Landscape","Sorghum",25
"141","Crops_Landscape","Bulrush_Millet",25
"142","Crops_Landscape","Finger_Millet",25
"143","Crops_Landscape","Wheat",25
"144","Crops_Landscape","Cassava",25
"145","Crops_Landscape","Sweet_Potatoes",25
"146","Crops_Landscape","Irish_Potatoes",25
"147","Crops_Landscape","Yams",25
"148","Crops_Landscape","Onions",25
"149","Crops_Landscape","Beans",25
"150","Crops_Landscape","Pigeon_Pea",25
"151","Crops_Landscape","Field_Peas",25
"152","Crops_Landscape","Sunflower",25
"153","Crops_Landscape","Sesame_Simsim",25
"154","Crops_Landscape","Groundnut",25
"155","Crops_Landscape","Palm_Oil",25
"156","Crops_Landscape","Coconut",25
"157","Crops_Landscape","Cashew_Nut",25
"158","Crops_Landscape","Soyabeans",25
"159","Crops_Landscape","Cotton",25
"160","Crops_Landscape","Pyrethrum",25
"161","Crops_Landscape","Coffee",25
"162","Crops_Landscape","Tea",25
"163","Crops_Landscape","Cocoa",25
"164","Crops_Landscape","Rubber",25
"165","Crops_Landscape","Sugar_Cane",25
"166","Crops_Landscape","Pineapple",25
"167","Crops_Landscape","Orange",25
"168","Crops_Landscape","Tomatoes",25
"169","Crops_Landscape","Chilies",25
"170","Crops_Landscape","Egg_Plant",25
"171","Crops_Landscape","Okra",25
"172","Crops_Landscape","Timber",25
"173","ErosionControl_HH","Country",810
"174","ErosionControl_HH","Landscape",810
"175","ErosionControl_HH","Household_ID",810
"176","ErosionControl_HH","Round",810
"177","ErosionControl_HH","Good_Soil",810
"178","ErosionControl_HH","Bad_Soil",810
"179","ErosionControl_HH","erosion_control",810
"180","ErosionControl_Landscape","Country",25
"181","ErosionControl_Landscape","Landscape",25
"182","ErosionControl_Landscape","Good_Soil",25
"183","ErosionControl_Landscape","Bad_Soil",25
"184","ErosionControl_Landscape","erosion_control_household_percent",25
"185","FoodSecurity_HH","Country",848
"186","FoodSecurity_HH","Landscape",848
"187","FoodSecurity_HH","Household_ID",848
"188","FoodSecurity_HH","Round",848
"189","FoodSecurity_HH","shortage_year",848
"190","FoodSecurity_HH","number_meals",848
"191","FoodSecurity_HH","diversity",848
"192","FoodSecurity_HH","Nonfood_Spending",848
"193","FoodSecurity_HH","Food_Consumption_Value",848
"194","FoodSecurity_HH","Food_Spending",848
"195","FoodSecurity_HH","Food_As_Percent_Total_Spending",848
"196","FoodSecurity_Landscape","Country",25
"197","FoodSecurity_Landscape","Landscape",25
"198","FoodSecurity_Landscape","avg_meals",25
"199","FoodSecurity_Landscape","Percent_Shortage_Past_Year",25
"200","FoodSecurity_Landscape","Mean_Diet_Diversity",25
"201","FoodSecurity_Landscape","Mean_Nonfood_Spending",25
"202","FoodSecurity_Landscape","Mean_Food_Consumption_Value",25
"203","FoodSecurity_Landscape","Mean_Food_Spending",25
"204","FoodSecurity_Landscape","Food_As_Percent_Total_Spending",25
"205","Gender_HH","Country",822
"206","Gender_HH","Landscape",822
"207","Gender_HH","Household_ID",822
"208","Gender_HH","Round",822
"209","Gender_HH","Male_Gender",822
"210","Gender_HH","Male_Literacy_Rate",822
"211","Gender_HH","Male_Percent_Attended_School",822
"212","Gender_HH","Male_Percent_Worked_Recently",822
"213","Gender_HH","Male_Mean_Hours_Worked_Last_Week",822
"214","Gender_HH","Male_Percent_Operated_Business",822
"215","Gender_HH","Male_Percent_Collects_Firewood",822
"216","Gender_HH","Male_Mean_Hours_Spent",822
"217","Gender_HH","Female_Gender",822
"218","Gender_HH","Female_Literacy_Rate",822
"219","Gender_HH","Female_Percent_Attended_School",822
"220","Gender_HH","Female_Percent_Worked_Recently",822
"221","Gender_HH","Female_Mean_Hours_Worked_Last_Week",822
"222","Gender_HH","Female_Percent_Operated_Business",822
"223","Gender_HH","Female_Percent_Collects_Firewood",822
"224","Gender_HH","Female_Mean_Hours_Spent",822
"225","Gender_HH","HH_Head_Gender",822
"226","Gender_Landscape","Country",25
"227","Gender_Landscape","Landscape",25
"228","Gender_Landscape","Male_Literacy_Rate",25
"229","Gender_Landscape","Male_Percent_Attended_School",25
"230","Gender_Landscape","Male_Percent_Worked_Recently",25
"231","Gender_Landscape","Male_Mean_Hours_Worked_Last_Week",25
"232","Gender_Landscape","Male_Percent_Operated_Business",25
"233","Gender_Landscape","Male_Percent_Collects_Firewood",25
"234","Gender_Landscape","Male_Mean_Hours_Spent",25
"235","Gender_Landscape","Female_Literacy_Rate",25
"236","Gender_Landscape","Female_Percent_Attended_School",25
"237","Gender_Landscape","Female_Percent_Worked_Recently",25
"238","Gender_Landscape","Female_Mean_Hours_Worked_Last_Week",25
"239","Gender_Landscape","Female_Percent_Operated_Business",25
"240","Gender_Landscape","Female_Percent_Collects_Firewood",25
"241","Gender_Landscape","Female_Mean_Hours_Spent",25
"242","Gender_Landscape","Male_HH_Head",25
"243","Gender_Landscape","Female_HH_Head",25
"244","Income_HH","Country",821
"245","Income_HH","Landscape",821
"246","Income_HH","Household_ID",821
"247","Income_HH","Round",821
"248","Income_HH","Total_Income",821
"249","Income_HH","AgIncome",821
"250","Income_HH","NonAgIncome",821
"251","Income_HH","AgInvestments",821
"252","Income_Landscape","Country",25
"253","Income_Landscape","Landscape",25
"254","Income_Landscape","TotalIncome",25
"255","Income_Landscape","AgIncome",25
"256","Income_Landscape","NonAgIncome",25
"257","Income_Landscape","AgCosts",25
"258","Income_Landscape","Income_Inequality_Gini",25
"259","NaturalResources_HH","Country",821
"260","NaturalResources_HH","Landscape",821
"261","NaturalResources_HH","Household_ID",821
"262","NaturalResources_HH","Round",821
"263","NaturalResources_HH","bundles",821
"264","NaturalResources_HH","cost",821
"265","NaturalResources_HH","total_fuelwood_value",821
"266","NaturalResources_HH","hh_annual_nonfuel_nr_value",821
"267","NaturalResources_HH","Nonfuel_NR_decreasing",821
"268","NaturalResources_Landscape","Country",25
"269","NaturalResources_Landscape","Landscape",25
"270","NaturalResources_Landscape","Mean_Annual_Fuelwood_Value",25
"271","NaturalResources_Landscape","Fuelwood_Decreasing",25
"272","NaturalResources_Landscape","Fuelwood_Shortage_Past_Year",25
"273","NaturalResources_Landscape","Fuelwood_From_Natural_Areas",25
"274","NaturalResources_Landscape","Nonfuel_NR_annual_value",25
"275","NaturalResources_Landscape","Nonfuel_NR_decreasing",25
"276","NaturalResources_Landscape","Collects_Nonfuel_Resources",25
"277","Nutrition_HH","Country",409
"278","Nutrition_HH","Landscape",409
"279","Nutrition_HH","Household_ID",409
"280","Nutrition_HH","Round",409
"281","Nutrition_HH","mean_zlen",409
"282","Nutrition_HH","mean_zwei",409
"283","Nutrition_HH","mean_zwfl",409
"284","Nutrition_HH","percent_stunted",409
"285","Nutrition_HH","percent_severe_stunted",409
"286","Nutrition_HH","percent_underweight",409
"287","Nutrition_HH","percent_severe_underweight",409
"288","Nutrition_HH","percent_wasting",409
"289","Nutrition_HH","percent_server_wasting",409
"290","Nutrition_HH","percent_overweight",409
"291","Nutrition_HH","percent_Composite_Index_Anthropometric_Failure",409
"292","Nutrition_Individual","Country",584
"293","Nutrition_Individual","Landscape",584
"294","Nutrition_Individual","Household_ID",584
"295","Nutrition_Individual","Individual_ID",584
"296","Nutrition_Individual","Round",584
"297","Nutrition_Individual","zlen",584
"298","Nutrition_Individual","zwei",584
"299","Nutrition_Individual","zwfl",584
"300","Nutrition_Individual","stunting",584
"301","Nutrition_Individual","severe_stunting",584
"302","Nutrition_Individual","underweight",584
"303","Nutrition_Individual","severe_underweight",584
"304","Nutrition_Individual","wasting",584
"305","Nutrition_Individual","severe_wasting",584
"306","Nutrition_Individual","overweight",584
"307","Nutrition_Individual","CIAF",584
"308","Nutrition_Individual","latitude",584
"309","Nutrition_Individual","longitude",584
"310","Nutrition_Landscape","Country",25
"311","Nutrition_Landscape","Landscape",25
"312","Nutrition_Landscape","mean_zlen",25
"313","Nutrition_Landscape","mean_zwei",25
"314","Nutrition_Landscape","mean_zwfl",25
"315","Nutrition_Landscape","percent_stunted",25
"316","Nutrition_Landscape","percent_severe_stunted",25
"317","Nutrition_Landscape","percent_underweight",25
"318","Nutrition_Landscape","percent_severe_underweight",25
"319","Nutrition_Landscape","percent_wasting",25
"320","Nutrition_Landscape","percent_server_wasting",25
"321","Nutrition_Landscape","percent_overweight",25
"322","Nutrition_Landscape","percent_Composite_Index_Anthropometric_Failure",25
"323","WatSan_HH","Country",830
"324","WatSan_HH","Landscape",830
"325","WatSan_HH","Household_ID",830
"326","WatSan_HH","Round",830
"327","WatSan_HH","No_Toilet",830
"328","WatSan_HH","Flush_Toilet",830
"329","WatSan_HH","Pit_Latrine",830
"330","WatSan_HH","Satisfied_Drinking_Water",830
"331","WatSan_HH","Unsatisfied_Drinking_Water",830
"332","WatSan_HH","Dispose_Garbage_Within_Compound",830
"333","WatSan_HH","No_Measure_Safe_Drinking_Water",830
"334","WatSan_Landscape","Country",25
"335","WatSan_Landscape","Landscape",25
"336","WatSan_Landscape","No_Toilet",25
"337","WatSan_Landscape","Flush_Toilet",25
"338","WatSan_Landscape","Pit_Latrine",25
"339","WatSan_Landscape","Satisfied_Drinking_Water",25
"340","WatSan_Landscape","Unsatisfied_Drinking_Water",25
"341","WatSan_Landscape","Dispose_Garbage_Within_Compound",25
"342","WatSan_Landscape","No_Measure_Safe_Drinking_Water",25
